Product_Name,Selling Price,MRP,Items Bought Last Month,Ratings,Numeric_Ratings,Total Ratings,Brand,Offer%
"Ambrane 50000mAh Power Bank, 20W Fast Charging, Metallic Body, Triple Output, Type C PD (Input & Output), Li-Polymer, Multi-Layer Protection for iPhone, Smartphones & Other Devices (Stylo Max, Black)",4299.0,6999.0,100,"4.0 out of 5 stars 1,285",4.0,1285,Ambrane,38.58
Oboe Silicon Soft Cover Case for Mi Power Bank 3i 20000 mAh Battery (Black) [Power Bank NOT Included],332.0,899.0,100,"4.0 out of 5 stars 2,337",4.0,2337,Oboe,63.07
URBN 27000 mAh 65W Ultra Fast Charging Compact Power Bank | Type C Power Delivery (Input& Output) | Quick Charge | Two-Way Fast Charging | Charge Laptop/Mobiles/TWS/Speakers | (Blue),4199.0,6999.0,200,"3.9 out of 5 stars 13,788",3.9,13788,URBN,40.01
MI Power Bank 3i 20000mAh Lithium Polymer 18W Fast Power Delivery Charging | Input- Type C | Micro USB| Triple Output | Sandstone Black,1899.0,2199.0,10000,"4.2 out of 5 stars 153,886",4.2,153886,MI,13.64
"MI 10000mAh Lithium Ion, Lithium Polymer Power Bank Pocket Pro with 22.5 Watt Fast Charging, Dual Input Ports(Micro-USB and Type C), Triple Output Ports, (Black)",1599.0,2499.0,5000,"4.3 out of 5 stars 20,540",4.3,20540,MI,36.01
"Mi 10000mAH Li-Polymer, Micro-USB and Type C Input Port, Power Bank 3i with 18W Fast Charging (Midnight Black)",1199.0,2199.0,5000,"4.2 out of 5 stars 153,886",4.2,153886,Mi,45.48
"Duracell 20000 MAH Slimmest Power Bank with 1 Type C PD and 2 USB A Port, 22.5W Fast Charging Portable Charger to Charges 3 Devices Simultaneously for iPhones, Android Phones, Smart Watches & More",2939.0,3499.0,3000,"4.2 out of 5 stars 1,362",4.2,1362,Duracell,16.0
"Ambrane 10000mAh Rugged, Slim & Compact Powerbank, 22.5W Fast Charging, USB & Type C Output, Power Delivery, Quick Charge for iPhone, Android & Other Devices (Force 10k, Dark Green)",1299.0,2999.0,3000,4.0 out of 5 stars 90,4.0,90,Ambrane,56.69
"Ambrane 20000mAh Power Bank, 20W Fast Charging, Triple Output, Type C PD (Input & Output), Quick Charge, Li-Polymer, Multi-Layer Protection for iPhone, Smartphones & Other Devices (Stylo 20K, Green)",1599.0,2499.0,2000,"4.0 out of 5 stars 24,548",4.0,24548,Ambrane,36.01
"Ambrane 20000mAh Power Bank with 20W Fast Charging, Triple Output, Power Delivery, Type C Input, Made in India, Multi-Layer Protection, Li-Polymer + Type C Cable (Stylo-20k, Black)",1599.0,2499.0,2000,"4.0 out of 5 stars 24,548",4.0,24548,Ambrane,36.01
"Ambrane 10000mAh Slim Power Bank, 20W Fast Charging, Dual Output, Type C PD (Input & Output), Quick Charge, Li-Polymer, Multi-Layer Protection for iPhone, Anrdoid & Other Devices (Stylo 10K, Black)",899.0,1599.0,3000,"3.8 out of 5 stars 14,201",3.8,14201,Ambrane,43.78
"boAt Energyshroom PB300 Powerbank with 10000mAh Battery, 22.5w Fast Charging, 12-Layer Smart IC Protection, LED Indicators and Aluminum Alloy Casing(Carbon Black)",999.0,2999.0,700,"4.0 out of 5 stars 1,285",4.0,1285,boAt,66.69
"Amazon Basics 10000mAH Lithium Polymer Power Bank | 3 Charging Cables Included | Four Way Output (Micro USB, Type C, iPhone Cables and 1 USB Port), Dual Input (Type C, Micro USB) | Black",1129.0,1999.0,200,"3.7 out of 5 stars 2,718",3.7,2718,Amazon,43.52
"Ambrane 27000mAh Li-Polymer Powerbank with Type C and USB Ports | Fast Charging for Smartphones, Smart Watches, Neckbands & Other Devices (PP-30 Pro, Black)",2199.0,3499.0,100,"4.2 out of 5 stars 5,477",4.2,5477,Ambrane,37.15
"Ambrane 27000mAh Power Bank, 20W Fast Charging, Triple Output, Type C PD (Input & Output), Quick Charge, Li-Polymer, Multi-Layer Protection for iPhone, Smartphones & Other Devices (Stylo Pro, Green)",2299.0,2999.0,600,"4.1 out of 5 stars 5,515",4.1,5515,Ambrane,23.34
"URBN 10000 mAh Lithium_Polymer 22.5W Super Fast Charging Ultra Compact Power Bank with Quick Charge & Power Delivery, Type C Input/Output, Made in India, Type C Cable Included (Camo)",999.0,2999.0,1000,"3.9 out of 5 stars 13,788",3.9,13788,URBN,66.69
"Ambrane 10000mAh Magnetic Wireless Power Bank for iPhone 12 & Above, 22.5W Wired + 15W Wireless Charging, Mobile Stand, Type C PD (Input & Output), Li-Polymer (Aerosync PB 10, Black)",2299.0,3499.0,200,"2.9 out of 5 stars 1,604",2.9,1604,Ambrane,34.3
"FLiX(Beetel) New Launch PowerXtreme 10,000mAh Slim Power Bank, USB C/Micro USB Input, Dual USB A Output, Compatible with iPhone 14 13 12 11 Samsung S22 S23 S21 Google Pixel 7 Oneplus (Black-P10)",499.0,1799.0,1000,"3.7 out of 5 stars 1,831",3.7,1831,FLiX(Beetel),72.26
URBN 20000 mAh Premium Black Edition Nano Power Bank | 22.5W Super Fast Charging | Pocket Size| Dual Type C Power Delivery (PD) Output + 1 USB Output for Quick Charge | Two-Way Fast Charge (Black),2199.0,4999.0,1000,"4.2 out of 5 stars 3,823",4.2,3823,URBN,56.01
"Ambrane 10000mAh Slim Power Bank, 20W Fast Charging, Dual Output, Type C PD (Input & Output), Quick Charge, Li-Polymer, Multi-Layer Protection for iPhone, Anrdoid & Other Devices (Stylo 10K, Blue)",899.0,1599.0,1000,"3.8 out of 5 stars 14,201",3.8,14201,Ambrane,43.78
MI 10000mAh 3i Lithium Polymer Power Bank Dual Input(Micro-USB and Type C) and Output Ports 18W Fast Charging (Metallic Blue),1199.0,2199.0,1000,"4.2 out of 5 stars 153,886",4.2,153886,MI,45.48
"pTron Dynamo 10000mAh 22.5W Power Bank Supports VOOC/Wrap/Dash USB Charging, 20W PD Fast Charging, 3 Output, 2 Input Ports Type-C/PD & Micro USB & Multiple Layers of Protection (Blue)",799.0,3199.0,700,4.2 out of 5 stars 537,4.2,537,pTron,75.02
"Ambrane 10000mAh Slim Power Bank, 20W Fast Charging, Dual Output, Type C PD (Input & Output), Quick Charge, Li-Polymer, Multi-Layer Protection for iPhone, Anrdoid & Other Devices (Stylo 10K, Green)",899.0,1599.0,1000,"3.8 out of 5 stars 14,201",3.8,14201,Ambrane,43.78
"FLiX(Beetel) New Launch PowerXtreme 10,000mAh 12W Slim Power Bank,USB C/Micro USB Input,Dual USB A Output,Compatible with iPhone (Type A to Lightning), Samsung, Google Pixel, Oneplus(Cobalt Blue-P10)",499.0,1799.0,700,"3.7 out of 5 stars 1,831",3.7,1831,FLiX(Beetel),72.26
"Spigen 3in1 10000mAh Wireless Charging Power Bank with USB-A | USB-C 20W Fast Charging, Included USB-A to USB-C Cable, Lithium Polymer - Black",2099.0,3999.0,700,"3.9 out of 5 stars 4,152",3.9,4152,Spigen,47.51
"Ambrane Mini Power Bank for iPhone 15, 14, 13, 12 Series for Emergency use, Strong Magnetic Wireless Power Bank, Ultra Slim Design, Compatible with MagSafe Covers (Aerosync PB5, Purple)",1799.0,2499.0,700,3.8 out of 5 stars 37,3.8,37,Ambrane,28.01
URBN 20000 mAh Premium Nano Power Bank | 22.5W Super Fast Charging | Smallest Power Bank | Dual Type C Power Delivery (PD) Output + 1 USB Output for Quick Charge | Two-Way Fast Charge (Camo),2199.0,4999.0,1000,"4.2 out of 5 stars 3,823",4.2,3823,URBN,56.01
"Redmi 20000mAh Li-Polymer Power Bank, USB Type C and Micro USB Ports, 18W Fast Charging, Low Power Mode, Black",1799.0,2999.0,200,"4.2 out of 5 stars 39,020",4.2,39020,Redmi,40.01
"FLiX(Beetel) Just Launched UltraCharge 20,000mAh QCPD Power Bank,USB C/B Input,Tripple output 22.5W High-Speed Power Delivery,Compatible to iPhone 14 13 12 11 Samsung S22 S23 S21 Google Pixel7 Oneplus",999.0,4999.0,500,"3.7 out of 5 stars 1,831",3.7,1831,FLiX(Beetel),80.02
URBN 20000 mAh Premium Nano Power Bank | 22.5W Super Fast Charging | Pocket Size| Dual Type C Power Delivery (PD) Output + 1 USB Output for Quick Charge | Two-Way Fast Charge (Purple),2199.0,4999.0,900,"4.2 out of 5 stars 3,823",4.2,3823,URBN,56.01
"Dravizon Digital Travel Bag Universal Travel Digital Accessories Organizer Storage Case Pouch Bag for Electronic Gadgets,Camera, Portable Charger, Cables, Earphone, Power Bank, Hard Drive, SD Card",437.0,849.0,200,"4.0 out of 5 stars 1,285",4.0,1285,Dravizon,48.53
