Product_Name,Selling Price,MRP,Items Bought Last Month,Ratings
Sneakers Shoes for Women | Casual Sneaker Shoes,₹999,"4,999",,4.1 out of 5 stars 131
"Women Sepia Sneakers, Grey, (5592715)",₹373,599,50+ bought in past month,3.6 out of 5 stars 166
Women's Melody Casual Shoes,₹799,899,50+ bought in past month,4.0 out of 5 stars 682
Womens AdelinaWalking Shoe,"₹1,469","3,999",,4.2 out of 5 stars 120
"Slip On Sneakers for Women | Latest Fashion Mesh Casual Shoes, Shoes for Women",₹599,999,,3.7 out of 5 stars 112
Womens Ultimate Ease WNS Walking Shoe,"₹1,437","2,499",,4.1 out of 5 stars 612
Womens Running Shoes,"₹5,039","8,999",,3.6 out of 5 stars 24
Women's Colorblocked Sneakers | Casual Shoes,₹599,"1,999",,
Womens Baya Platform Clog Black Clog - 3 UK (W5) (208186-001),"₹3,146.50","4,495",Price and other details may vary based on product size and colour.,5.0 out of 5 stars 2
Womens Baya Platform Clog Black Clog - 3 UK (W5) (208186-001),"₹3,146.50","4,495",,5.0 out of 5 stars 2
Womens 327Sneaker,"₹7,699","10,999",,4.2 out of 5 stars 43
Women 500 Violet Shadow Sneakers (GW500MA2),"₹4,899","6,999",,
Unisex 530 Mercury Blue Sneakers (MR530CI_New),"₹8,399","11,999",,5.0 out of 5 stars 2
Comfotable Lightweight Casual Sneaker for Women/Girls,₹499,999,50+ bought in past month,3.7 out of 5 stars 38
Womens D'lux Walker-Infinite Motion Sneaker,"₹3,577","6,999",,"4.4 out of 5 stars 6,158"
Womens SandraBallet Flat,₹374,599,50+ bought in past month,3.9 out of 5 stars 334
Comfotable Lightweight Casual Sneaker for Women/Girls,₹699,999,100+ bought in past month,3.9 out of 5 stars 104
"Casual Sneaker Shoes for Women | Soft Cushioned Insole, Slip-Resistance, Dynamic Feet Support, Arch Support & Shock Absorption","₹1,619","5,399",50+ bought in past month,4.9 out of 5 stars 11
Womens Carina Slim Sl Sneaker,"₹1,750","3,499",,4.0 out of 5 stars 665
Sneaker Crease Remover | Shoe Crease Decreaser for Both Men & Women | Pack of 1,₹378,549,100+ bought in past month,3.9 out of 5 stars 300
"Running Shoes,Sports Shoes for Women|Memory Foam Insole Walking Shoes for Women| Casuals for Women",₹501,"1,099",50+ bought in past month,4.0 out of 5 stars 22
"Women Mario Loafers, Grey, (5512609)","₹1,055","1,699",,3.6 out of 5 stars 34
Unisex Crocband II.5 Rubber Clogs and Mules,"₹2,149","3,495",100+ bought in past month,"4.2 out of 5 stars 25,546"
Womens SepiaCasual Shoe,₹374,599,50+ bought in past month,"4.0 out of 5 stars 3,440"
Women's Pink Sneakers Casual Shoes,₹424,499,50+ bought in past month,4.2 out of 5 stars 432
Womens Harmonious Shoes,"₹3,036","5,999",,"4.7 out of 5 stars 1,515"
Womens Sarah Sneaker,₹404,799,50+ bought in past month,"4.2 out of 5 stars 1,084"
Casual Sneakers Canvas Colour Shoes for Girls and Women,₹474,999,50+ bought in past month,3.3 out of 5 stars 226
Womens Ultimate Ease WNS Walking Shoe,"₹1,522","2,499",50+ bought in past month,4.1 out of 5 stars 612
Jute Handcrafted Women & Girl Casual Sneaker Shoes,"₹1,999","5,498",,
Jute Handcrafted Women & Girl Casual Sports Shoes Sneaker,"₹1,999","5,498",,2.0 out of 5 stars 1
Women's Handcrafted Vegan Leather Brown Mysore Garden Knotted Mule,"₹1,349","3,499",,
Women's Pacer Wn s IDP Sneaker,"₹1,555","3,299",,"4.0 out of 5 stars 1,410"
Womens Everyday Basic Sneakers for Women | Shoes for Women | Comfortable & Lightweight | Casual Sneakers_Shoes_a3Sneaker,₹299,999,50+ bought in past month,3.6 out of 5 stars 13
Unisex-Adult Bayaband ClogClogs,"₹2,719","3,495",100+ bought in past month,"4.3 out of 5 stars 65,071"
Women White Casual Sneakers,₹588,999,100+ bought in past month,3.7 out of 5 stars 857
Women's New Selah Casual Shoes,₹599,,50+ bought in past month,4.6 out of 5 stars 16
"Sneaker Casual Shoes for Women | Soft Cushion Insole, Slip-Resistance, Dynamic Feet Support, Arch Support & Perfect for Casual Wear","₹1,099","5,499",,4.4 out of 5 stars 71
Womens Mule Clogs (w19),₹569,"3,995",,3.1 out of 5 stars 80
unisex-adult Bmw Mms Drift Cat 5 Ultra Ii Casual Shoe,"₹2,799","6,999",,4.0 out of 5 stars 215
womens Bobs Squad Chaos - Face Off Sneaker,"₹2,836","4,999",,4.7 out of 5 stars 85
Casual Sneaker Shoes for Women | Slip Resistant & Durable,"₹1,649","5,499",,4.0 out of 5 stars 127
Women's New Sophia Walking Shoe,₹370,599,50+ bought in past month,3.6 out of 5 stars 229
Womens Kadee Floaters,"₹1,015","1,995",100+ bought in past month,"4.1 out of 5 stars 16,485"
Mens Summits Sneakers,"₹2,277","4,499",,5.0 out of 5 stars 2
Womens Smashic WmnCasual Shoe,"₹1,739","4,499",50+ bought in past month,4.0 out of 5 stars 178
"Women's Casual Sneakers - Elevated Look, Arch Support, Dynamic Feet Support, On-Ground Traction, Soft-Cushioned Insole",₹999,"4,999",,3.9 out of 5 stars 78
