Product_Name,Selling Price,MRP,Items Bought Last Month,Ratings
"FLiX(Beetel) New Launch PowerXtreme 10,000mAh 12W Slim Power Bank,USB C/Micro USB Input,Dual USB A Output,Compatible with iPhone (Type A to Lightning), Samsung, Google Pixel, Oneplus(Cobalt Blue-P10)",₹499,"1,799",700+ bought in past month,"3.7 out of 5 stars 1,831"
"Spigen 3in1 10000mAh Wireless Charging Power Bank with USB-A | USB-C 20W Fast Charging, Included USB-A to USB-C Cable, Lithium Polymer - Black","₹2,099","3,999",700+ bought in past month,"3.9 out of 5 stars 4,152"
"Ambrane Mini Power Bank for iPhone 15, 14, 13, 12 Series for Emergency use, Strong Magnetic Wireless Power Bank, Ultra Slim Design, Compatible with MagSafe Covers (Aerosync PB5, Purple)","₹1,799","2,499",700+ bought in past month,3.8 out of 5 stars 37
URBN 20000 mAh Premium Nano Power Bank | 22.5W Super Fast Charging | Smallest Power Bank | Dual Type C Power Delivery (PD) Output + 1 USB Output for Quick Charge | Two-Way Fast Charge (Camo),"₹2,199","4,999",1K+ bought in past month,"4.2 out of 5 stars 3,823"
"Redmi 20000mAh Li-Polymer Power Bank, USB Type C and Micro USB Ports, 18W Fast Charging, Low Power Mode, Black","₹1,799","2,999",,"4.2 out of 5 stars 39,020"
"FLiX(Beetel) Just Launched UltraCharge 20,000mAh QCPD Power Bank,USB C/B Input,Tripple output 22.5W High-Speed Power Delivery,Compatible to iPhone 14 13 12 11 Samsung S22 S23 S21 Google Pixel7 Oneplus",₹999,"4,999",500+ bought in past month,"3.7 out of 5 stars 1,831"
URBN 20000 mAh Premium Nano Power Bank | 22.5W Super Fast Charging | Pocket Size| Dual Type C Power Delivery (PD) Output + 1 USB Output for Quick Charge | Two-Way Fast Charge (Purple),"₹2,199","4,999",900+ bought in past month,"4.2 out of 5 stars 3,823"
"Dravizon Digital Travel Bag Universal Travel Digital Accessories Organizer Storage Case Pouch Bag for Electronic Gadgets,Camera, Portable Charger, Cables, Earphone, Power Bank, Hard Drive, SD Card",₹437,849,,
"Wooum Gadget Organizer Bag - Portable Bag and Mobile Power Bank Bag Electronic Accessory Storage Bag USB Cable Storage Bag Power Bank Pouch Cable Organizer Light Grey (polyester, pack of 1)",₹314,899,,3.9 out of 5 stars 470
"Ambrane 10000mAh Slim Power Bank, 20W Fast Charging, Dual Output, Type C PD (Input & Output), Quick Charge, Li-Polymer, Multi-Layer Protection for iPhone, Anrdoid & Other Devices (Stylo 10K, Green)",₹899,"1,599",1K+ bought in past month,"3.8 out of 5 stars 14,201"
"Ambrane 50000mAh Power Bank, 20W Fast Charging, Metallic Body, Triple Output, Type C PD (Input & Output), Li-Polymer, Multi-Layer Protection for iPhone, Smartphones & Other Devices (Stylo Max, Black)","₹4,299","6,999",100+ bought in past month,"4.0 out of 5 stars 1,285"
"Ambrane 50000mAh Power Bank, 20W Fast Charging, Metallic Body, Triple Output, Type C PD (Input & Output), Li-Polymer, Multi-Layer Protection for iPhone, Smartphones & Other Devices (Stylo Max, Black)","₹4,299","6,999",100+ bought in past month,"4.0 out of 5 stars 1,285"
"Ambrane 27000mAh Power Bank, 20W Fast Charging, Triple Output, Type C PD (Input & Output), Quick Charge, Li-Polymer, Multi-Layer Protection for iPhone, Smartphones & Other Devices (Stylo Pro, Green)","₹2,299","2,999",600+ bought in past month,"4.1 out of 5 stars 5,515"
"Amazon Basics 10000mAH Lithium Polymer Power Bank | 3 Charging Cables Included | Four Way Output (Micro USB, Type C, iPhone Cables and 1 USB Port), Dual Input (Type C, Micro USB) | Black","₹1,129","1,999",200+ bought in past month,"3.7 out of 5 stars 2,718"
"pTron Newly Launched Dynamo Z 10000mAh 22.5W Power Bank Supports VOOC/Wrap/Dash USB Charging, 20W PD Fast Charging, 3 Output Ports, 2 Input Ports & Multiple Layers of Protection (Black)",₹799,"2,899",500+ bought in past month,4.2 out of 5 stars 537
"Ambrane 20000 mAh Mini Power Bank with 22.5W Fast Charging, Pocket Size, Triple Output, Type C PD (Input & Output), Li-Polymer, Made in India + Type C Cable (Powerlit XL Lite, Black)","₹1,799","3,999",400+ bought in past month,3.0 out of 5 stars 11
"Ambrane 20000 mAh Mini Power Bank with 22.5W Fast Charging, Pocket Size, Triple Output, Type C PD (Input & Output), Li-Polymer, Made in India + Type C Cable (Powerlit XL Lite, Yellow)","₹1,799","3,999",400+ bought in past month,3.0 out of 5 stars 11
"Ambrane 10000mAh Slimmest & Compact (Pocket/Bag Friendly) Powerbank, 22.5W Fast Charging, USB & Type C Output, Power Delivery, Quick Charge for iPhone, Android & Other Devices (Powerlit, Black)","₹1,199","1,999",600+ bought in past month,4.1 out of 5 stars 442
"Anker 10000 mAh PD Power Bank, PowerCore (Series 3), Fast Charging PowerIQ (PIQ) Technology, USB-C Input, USB-A & USB-C Output, Charge 2 Devices at Once, Ultra Slim Portable Charger","₹1,799","4,499",800+ bought in past month,"4.3 out of 5 stars 85,543"
"pTron Dynamo Classic 20000mAh 22.5W Power Bank, Supports VOOC/Wrap/Dash USB Charging, 20W PD Fast Charging, 3 Outputs, 2 Inputs Type-C/PD & Micro USB, Multi Layers of Protection (Black)","₹1,399","5,199",,4.2 out of 5 stars 537
"FLiX(Beetel) Just Launched UltraCharge 20,000mAh QCPD Power Bank,USB C/B Input,Tripple Output 22.5W Power Delivery,Compatible to iPhone 14 13 12 11 Samsung S22 S23 Google Pixel7 Oneplus(Olive Green)",₹999,"4,999",400+ bought in past month,"3.7 out of 5 stars 1,831"
"Amazon Basics 10000mAh 10W Power Bank with Cable | Dual USB-A Outputs | Dual Input Ports | Lithium Polymer Power Bank | Plastic Casing, Lightweight (Black)",₹609,"1,499",1K+ bought in past month,3.6 out of 5 stars 427
"Ambrane 100W Fast Charging Powerbank for MacBook, Type C Laptop & Mobile Charging, 25,000mAh Battery, Triple Output, Power Delivery & Quick Charge (Powerlit Ultra, Black)","₹4,499","9,999",,4.1 out of 5 stars 349
"Ambrane 27000mAh Power Bank, 20W Fast Charging, Triple Output, Type C PD (Input & Output), Quick Charge, Li-Polymer, Multi-Layer Protection for iPhone, Smartphones & Other Devices (Stylo Pro, Green)","₹2,299","2,999",600+ bought in past month,"4.1 out of 5 stars 5,515"
"Amazon Basics 20000mAh 22.5W Lithium-Polymer Power Bank | Dual Input, Triple Output | Fast Charging, Black, Type-C Cable Included","₹1,499","3,299",800+ bought in past month,"3.7 out of 5 stars 2,328"
"URBN 20000 mAh Lithium_Polymer 22.5W Super Fast Charging Ultra Compact Power Bank with Quick Charge & Power Delivery, Type C Input/Output, Made in India, Type C Cable Included (Camo)","₹1,899","3,999",1K+ bought in past month,"3.9 out of 5 stars 13,788"
URBN 27000 mAh 65W Ultra Fast Charging Compact Power Bank | Type C Power Delivery (Input& Output) | Quick Charge | Two-Way Fast Charging | Charge Laptop/Mobiles/TWS/Speakers | (Blue),"₹4,199","6,999",200+ bought in past month,"3.9 out of 5 stars 13,788"
"Ambrane 27000mAh Li-Polymer Powerbank with Type C and USB Ports | Fast Charging for Smartphones, Smart Watches, Neckbands & Other Devices (PP-30 Pro, Black)","₹2,199","3,499",100+ bought in past month,"4.2 out of 5 stars 5,477"
URBN 10000 mAh Lithium_ion Premium Black Edition Nano Power Bank | 20W Fast Charging | Smallest Power Bank | Type C PD (Input& Output) | Made in India | Dual Output | Free Type C Cable - Black,"₹1,499","2,999",600+ bought in past month,"4.2 out of 5 stars 3,823"
"boAt Energyshroom PB300 Powerbank with 10000mAh Battery, 22.5w Fast Charging, 12-Layer Smart IC Protection, LED Indicators and Aluminum Alloy Casing(Marvel Fusion)","₹1,099","2,999",200+ bought in past month,
"URBN 10000 mAh Lithium_Polymer Power Bank with 22.5 Watt Super Fast Charging, Blue","₹1,099","2,999",800+ bought in past month,"3.9 out of 5 stars 13,788"
"pTron Dynamo Classic 20000mAh 22.5W Power Bank, Supports VOOC/Wrap/Dash USB Charging, 20W PD Fast Charging, 3 Outputs, 2 Inputs Type-C/PD & Micro USB, Multi Layers of Protection (Green)","₹1,399","5,199",400+ bought in past month,4.2 out of 5 stars 537
"Portronics Luxcell 10K 10000 mAh Designer Power Bank with 22.5W Max Output, LED Indicator, Mach USB-A Output, Type C PD Output, Type C Input, Wake Up Button(Dark Grey)",₹899,"1,999",500+ bought in past month,4.1 out of 5 stars 96
"Duracell Power Bank 10000 mAh, Portable Charger, USB C/Micro USB Input, USB A/USB C Output, Fast Charge Technology, 22.5W Power Delivery for Smartphones, Tablets, Headphones and USB-Powered Devices","₹1,899","2,499",,4.0 out of 5 stars 980
"boAt Energyshroom PB300 Powerbank with 10000mAh Battery, 22.5w Fast Charging, 12-Layer Smart IC Protection, LED Indicators and Aluminum Alloy Casing(King's Purple)","₹1,099","2,999",200+ bought in past month,
"pTron Dynamo 10000mAh 22.5W Power Bank Supports VOOC/Wrap/Dash USB Charging, 20W PD Fast Charging, 3 Output, 2 Input Ports Type-C/PD & Micro USB & Multiple Layers of Protection (Green)",₹799,"3,199",400+ bought in past month,4.2 out of 5 stars 537
Mi Power Bank Boost Pro 30000mAh with 18W Fast Charging|Power Delivery 3.0|24W Fast Recharging|Triple Output Port|Dual Input with Type C|16 Layer Protection (Black),"₹3,199","4,999",600+ bought in past month,4.1 out of 5 stars 637
"Redmi Lithiumpolymer 10000 Mah Fast Charging Slim Power Bank (Black, 10W Fast Charging, Dual Ports)","₹1,099","1,999",600+ bought in past month,"4.2 out of 5 stars 39,020"
MI Lithium Ion Xiaomi Wireless Power Bank 10000mAh | 22.5W Fast Charging (USB-A) | 10W Wireless Charging | Two-Way Fast Charging | Fast Charging USB C Input Port -Black,"₹2,299","3,999",600+ bought in past month,4.1 out of 5 stars 901
"Ambrane 27000mAh Power Bank, 20W Fast Charging, Triple Output, Type C PD (Input & Output), Quick Charge, Li-Polymer, Multi-Layer Protection for iPhone, Smartphones & Other Devices (Stylo Pro, Black)","₹2,299","2,999",500+ bought in past month,"4.1 out of 5 stars 5,515"
URBN 20000 mAh Li-Polymer Ultra Compact Power Bank | 12W Fast Charge | Dual USB Output | Type C & Micro Input Only | Pocket Size | Made in India (Camo),"₹1,299","3,499",600+ bought in past month,"3.8 out of 5 stars 3,770"
"HASTHIP® Electronics Travel Small 3 Layers Organizer Bag, Waterproof Tech Accessories Pouch Bag for Charger/Power Bank/Cables/Mouse/Earphone/Students -19x11x6cm(Light Grey)",₹622,"1,039",,3.7 out of 5 stars 41
