Product_Name,Selling Price,MRP,Items Bought Last Month,Ratings
"(Refurbished) Dell Optiplex 19"" All-in-One Desktop Computer Set(Intel i5 3470/8 GB/1TB HDD /19"" HD Monitor+Keyboard+Mouse+ HD Webcam+Mic+Speakers+WiFi+Display Port/Windows 10 Pro/MS Office)","₹16,195","89,999",50+ bought in past month,3.5 out of 5 stars 318
"(Refurbished) Dell Windows .Optiplex 3040 Tiny Desktop - Core I5 6Th Gen, 16 Gb Ram, 480Gb Ssd, - Win 11 Upgraded, Ms Office/ Intel Hd Graphics/, Usb 3.0, Ethernet, Vga, Black","₹11,280","49,900",50+ bought in past month,3.6 out of 5 stars 313
"All-in-One PC 13th Gen Intel Core i5 27"" (68.6cm) FHD 16GB RAM, 1TB SSD, Intel UMA Graphics, 710 White Wireless Keyboard and Mouse Combo (Windows 11 Home, MSO 21, Shell White, 6.72 Kg) 27-cr0407in","₹69,990","90,171",50+ bought in past month,4.1 out of 5 stars 45
"(Refurbished) Lenovo ThinkCenter 19 "" AIO Desktop Set(Intel i5 4thGen/ 8GB/256GB SSD/19 ""esHD Monitor+Keyboard+Mouse+Tiny CPU+FHD Webcam+Mic+Speakers+Wifi/Windows 10 Pro/MS Office/PAN India Warranty)","₹13,977","89,999",50+ bought in past month,3.5 out of 5 stars 309
"(Refurbished) Dell Optiplex Intel Core i5 3470 3.2 Ghz Business Class Performance Desktop (8 GB RAM, 256 GB SSD, HD Graphics, Windows 10 Pro, MS Office, USB, Ethernet, VGA, Black)","₹7,535","59,999",50+ bought in past month,3.7 out of 5 stars 112
"JDS 4K Mini PC Box, Android 10, 2GB Ram 16 GB ROM, H313 Quad Core Processor, H.265 Decoding,WiFi","₹1,849","2,999",,1.5 out of 5 stars 4
Android 11.0 4GB RAM 32GB ROM Dual WiFi 2.4/5 Ghz BT 5 RK3318 4K Experience Bluetooth Android Mini PC Box,"₹4,499","5,999",,
"Mini PC with 4GB DDR3 RAM, 32 GB ROM, Android 10.0, RK3318 Quad-Core 64bit Cortex-A53, WiFi 2.4 Ghz,","₹3,399","5,999",,2.7 out of 5 stars 5
"Zaire-Z14 i5 4th Generation Computer Desktop PC CPU H81,8GB-DDR3 RAM,500GB HDD,Super Fast 128GB SSD and Basic Software Installed - Black","₹12,310","24,490",,4.4 out of 5 stars 8
"IdeaCentre AIO 3 12th Gen Intel i3 27"" FHD IPS 3-Side Edgeless All-in-One Desktop with Alexa Built-in (8GB/512GB SSD/Win11/MS Office 2021/5.0MP Camera/Wireless Keyboard & Mouse) F0GJ00C2IN","₹47,989","64,290",50+ bought in past month,4.2 out of 5 stars 37
"IdeaCentre AIO 3 12th Gen Intel i3 27"" FHD IPS 3-Side Edgeless All-in-One Desktop with Alexa Built-in (8GB/512GB SSD/Win11/MS Office 2021/5.0MP Camera/Wireless Keyboard & Mouse) F0GJ00C2IN","₹47,989","64,290",,4.2 out of 5 stars 37
Android 10 4GB RAM 32GB ROM Dual WiFi 2.4/5 Ghz BT 5 AMLOGIC S905W2 4K Experience Bluetooth Android Mini PC Box,"₹4,499","5,999",,
AUSEK® Android 10 Dual WiFi 2.4/5 Ghz H616 4K 4GB Ram 32GB ROM Android Mini PC Box,"₹3,399","4,499",,
Computer Desktop PC (Core i7-2600 || 16GB RAM || 480GB SSD || HDMI || VGA || Ethernet || HD Graphics 2000) Basic Software Installed (Black),"₹16,399","27,999",,4.4 out of 5 stars 90
