Product_Name,Selling Price,MRP,Items Bought Last Month,Ratings,Numeric_Ratings,Total Ratings,Brand,Offer%
"42 L 5 Star Mini Bar Single Door Refrigerators (HRD-55KS, Black Steel)",9999.0,13490.0,600,"4.3 out of 5 stars 2,126",4.3,2126,Haier,25.88
"165 L 1 Star Direct Cool Single Door Refrigerator Appliance (2023 Model, HED-171RS-P, Red Steel)",10990.0,14990.0,600,"4.0 out of 5 stars 1,497",4.0,1497,Samsung,26.68
"400L 2 Star Prime Convertible 6-Stage Smart Inverter Frost-Free Double Door Bottom Mount Refrigerator (NR- BK415BQKN, Diamond Black,Jumbo Fresh Vegetable Basket,Net Capacity 357L,2023 Model)",54490.0,77490.0,600,5.0 out of 5 stars 2,5.0,2,Bosch,29.68
"184 L 2 Star Direct-Cool Single Door Refrigerator (205 WDE CLS 2S SAPPHIRE BLUE-Z, Blue,2023 Model)",11990.0,15400.0,1000,"4.1 out of 5 stars 2,755",4.1,2755,GE Appliances,22.14
240 L Frost Free Triple-Door Refrigerator (FP 263D PROTTON ROY ARCTIC STEEL(N),25790.0,35450.0,600,"4.0 out of 5 stars 7,178",4.0,7178,Frigidaire,27.25
"236 L, 3 Star, Convertible, Digital Inverter, with Display Frost Free Double Door Refrigerator (RT28C3733S8/HL, Silver, Elegant Inox, 2023 Model)",26290.0,40990.0,400,"4.3 out of 5 stars 3,729",4.3,3729,Whirlpool,35.86
"242 L 3 Star Smart Inverter Frost-Free Double Door Refrigerator (GL-I292RPZX, Shiny Steel, Door Cooling+)",25990.0,37099.0,600,"4.2 out of 5 stars 3,265",4.2,3265,LG,29.94
"236 L, 3 Star, Digital Inverter, Frost Free Double Door Refrigerator (RT28C3053S8/HL, Silver, Elegant Inox, 2023 Model)",25290.0,37990.0,500,"4.3 out of 5 stars 5,700",4.3,5700,GE Appliances,33.43
"192 L 3 Star Vitamagic Pro Inverter Direct-Cool Single Door Refrigerator (215 VITAMAGIC PRO PRM 3S INV MAGNUM STEEL-Z, Grey, Auto Defrost Technology, 2023 Model)",15590.0,17600.0,700,"4.0 out of 5 stars 2,749",4.0,2749,GE Appliances,11.42
"183 L, 3 Star, Digital Inverter, Direct-Cool Single Door Refrigerator (RR20C1723S8/HL, Silver, Elegant Inox, 2023 Model)",14690.0,18999.0,300,"4.2 out of 5 stars 2,449",4.2,2449,Haier,22.68
"325 L 3 Star Frost Free Inverter Double Door Bottom Mount Refrigerator Appliance (2023 Model, HEB-333DS-P, Dazzle Steel, Convertible)",34990.0,50990.0,300,4.2 out of 5 stars 260,4.2,260,Whirlpool,31.38
"280 L Double Door 3 Star AI Enabled Inverter Technology Frost Free Refrigerator (NR-TH292CVHN, Electric Grey, Jumbo Fresh Vegetable Basket,2023 Model, Net Capacity 256L)",27790.0,35500.0,600,3.9 out of 5 stars 84,3.9,84,Samsung,21.72
"189L 5 Star, Inverter, Direct-Cool Single Door Refrigerator (RR21C2H25UZ/HL,Midnight Blossom Blue) Base Stand Drawer, 2023 Model",18900.0,24999.0,600,4.0 out of 5 stars 75,4.0,75,Bosch,24.4
"SFR350DDU Double Door Convertible Deep Freezer-346 Ltr (4 yrs Compressor Warranty, Low power Consumption)",22470.0,33986.0,600,4.2 out of 5 stars 359,4.2,359,Frigidaire,33.88
"183 L, 4 Star, Digital Inverter, Direct-Cool Single Door Refrigerator (RR20C1824CR/HL, Red, Camellia Purple, Base Stand Drawer, 2023 Model)",16390.0,22999.0,300,"4.3 out of 5 stars 4,876",4.3,4876,Frigidaire,28.74
"189 L, 5 Star, Digi-Touch Cool Digital Inverter, with Display Direct-Cool Single Door Refrigerator (RR21C2F25HT/HL, Red, Hydrangea Plum, Base Stand Drawer, 2023 Model)",17990.0,25999.0,400,"4.3 out of 5 stars 1,094",4.3,1094,LG,30.81
"180 L 2 Star Advanced Capillary Technology, With Jumbo Vegetable Tray Direct Cool Single Door Refrigerator(2023 Model, RD EDGE 205B WRF PP BL, Pep Blue)",12590.0,17500.0,400,"4.1 out of 5 stars 1,251",4.1,1251,Samsung,28.06
"185 L 5 Star Inverter Direct-Cool Single Door Refrigerator (GL-D201ABPU, Blue Plumeria, Fast Ice Making, Base stand with drawer)",17990.0,22199.0,400,"4.3 out of 5 stars 1,884",4.3,1884,Whirlpool,18.96
"180 L 4 Star Turbo Cooling Technology, With 24 Days Farm Freshness Direct Cool Single Door Refrigerator(2023 Model, RD EDGENEO 207D THF AQ BL, Aqua Blue)",14940.0,18990.0,200,"4.2 out of 5 stars 3,380",4.2,3380,Samsung,21.33
"256 L, 3 Star, Convertible, Digital Inverter, with Display Frost Free Double Door Refrigerator (RT30C3733BX/HL, Luxe Black, 2023 Model)",29990.0,44990.0,200,"4.3 out of 5 stars 2,239",4.3,2239,Samsung,33.34
"236 L, 2 Star, Digital Inverter, Frost Free Double Door Refrigerator (RT28C3032GS/HL, Gray Silver, 2023 Model)",23190.0,30990.0,400,"4.3 out of 5 stars 1,319",4.3,1319,Frigidaire,25.17
"190 L 5 Star Direct Cool Single Door Refrigerator (2023 Model, HED-205DS-P, Dazzle Steel)",15290.0,22490.0,200,4.0 out of 5 stars 253,4.0,253,LG,32.01
"385 L, 2 Star, Convertible 5In1 Digital Inverter, with Display Frost Free Double Door Refrigerator (RT42C5532S9/HL, Silver, Refined Inox, 2023 Model)",42490.0,64990.0,100,"4.2 out of 5 stars 1,023",4.2,1023,GE Appliances,34.62
"184 L 3 Star Direct-Cool Single Door Refrigerator (205 WDE CLS 3S SAPPHIRE BLUE-Z, Blue, 2023 Model)",12990.0,17200.0,200,"4.2 out of 5 stars 5,297",4.2,5297,LG,24.48
"189 L, 5 Star, Digital Inverter, Direct-Cool Single Door Refrigerator (RR21C2H25S8/HL, Silver, Elegant Inox, Base Stand Drawer, 2023 Model)",17290.0,25999.0,200,"4.3 out of 5 stars 1,577",4.3,1577,GE Appliances,33.5
"207 L 5 Star Icemagic Pro Inverter Direct-Cool Single Door Refrigerator (230 IMPRO ROY 5S INV SAPPHIRE ABYSS-Z, Base Stand with Drawer, 2023 Model)",18690.0,25050.0,300,"4.1 out of 5 stars 3,453",4.1,3453,Frigidaire,25.39
"223 L, 3 Star, Digital Inverter, Direct-Cool Single Door Refrigerator (RR24C2Z23CR/NL, Red, Camellia Purple, Base Stand Drawer, 2023 Model)",18690.0,24999.0,100,"4.2 out of 5 stars 1,354",4.2,1354,Bosch,25.24
"45 L 4 Star Direct-Cool Single Door Mini Refrigerator (RR46D4SBN, Black, 2023 Model)",7990.0,10990.0,300,4.0 out of 5 stars 409,4.0,409,GE Appliances,27.3
"363 L, 3 Star, Convertible 5-in-1 Digital Inverter, with Display Frost Free Double Door Refrigerator (RT39C553EBX/HL, Luxe Black, 2023 Model)",43490.0,65990.0,100,4.1 out of 5 stars 546,4.1,546,Bosch,34.1
Relay and Overload Compatible with Whirlpool Single Door Refrigerator (White),450.0,77490.0,600,3.9 out of 5 stars 34,3.9,34,Samsung,99.42
"184 L 2 Star Direct-Cool Single Door Refrigerator (205 WDE PRM 2S WINE BLOOM-Z, 2023 Model)",12990.0,17000.0,600,4.1 out of 5 stars 489,4.1,489,LG,23.59
"322 L 3 Star Frost-Free Smart Inverter Double Door Refrigerator (2023 Model, GL-S342SDSX, Dazzle Steel, Convertible with Express Freeze)",34990.0,46999.0,100,"4.3 out of 5 stars 1,284",4.3,1284,GE Appliances,25.55
"189 L, 5 Star, Digital Inverter, Direct-Cool Single Door Refrigerator (RR21C2H25CR/HL, Red, Camellia Purple, Base Stand Drawer, 2023 Model)",17890.0,24999.0,200,"4.3 out of 5 stars 4,817",4.3,4817,LG,28.44
"189 L, 5 Star, Digi-Touch Cool Digital Inverter, with Display Direct-Cool Single Door Refrigerator (RR21C2F25NJ/HL,Orange Blossom Red, Base Stand Drawer, 2023 Model)",17990.0,25999.0,100,"4.4 out of 5 stars 1,185",4.4,1185,Haier,30.81
"322 L, 3 Star, Convertible 5-in-1 Digital Inverter, with Display Frost Free Double Door Refrigerator (RT37C4523S8/HL, Silver, Elegant Inox, 2023 Model)",37490.0,56990.0,100,"4.2 out of 5 stars 3,236",4.2,3236,Haier,34.22
"94 L 3 Star Direct-Cool Single Door Mini Refrigerator (RR94D4SSN, Silver, 2023 Model)",9990.0,13990.0,600,"4.1 out of 5 stars 1,072",4.1,1072,Haier,28.59
"180 L 3 Star Farm Fresh Crisper Technology With Jumbo Vegetable Tray Direct Cool Single Door Refrigerator(2023 Model, RD R190C THF FR BL, Floral Blue)",13990.0,21590.0,200,"4.0 out of 5 stars 1,373",4.0,1373,GE Appliances,35.2
