Product_Name,Selling Price,MRP,Items Bought Last Month,Ratings,Numeric_Ratings,Total Ratings,Brand,Offer%
Womens 327Sneaker,7699.0,10999.0,100,4.2 out of 5 stars 43,4.2,43,New Balance,30.0
Womens Baya Platform Clog Black Clog - 3 UK (W5) (208186-001),3146.5,4495.0,100,5.0 out of 5 stars 2,5.0,2,Adidas,30.0
Women 500 Violet Shadow Sneakers (GW500MA2),4899.0,6999.0,100,4.5 out of 5 stars 58,4.5,58,New Balance,30.0
Jute Handcrafted Women & Girl Casual Sneaker Shoes,1999.0,5498.0,100,4.5 out of 5 stars 58,4.5,58,Skechers,63.64
Casual Sneaker Shoes for Women | Stylish and Comfortable | Lace-Up Style,1139.0,5699.0,300,3.7 out of 5 stars 20,3.7,20,Adidas,80.01
"Women's Sneakers Comfort, Perfect Light Weight Casual White Shoes for Women & Girls",389.0,999.0,200,5.0 out of 5 stars 2,5.0,2,Adidas,61.06
Womens Everyday Basic Sneakers for Women | Shoes for Women | Comfortable & Lightweight | Casual Sneakers_Shoes_a1Sneaker,299.0,999.0,100,4.1 out of 5 stars 125,4.1,125,Vans,70.07
Comfotable Lightweight Casual Lace-Up Sneaker for Women/Girls,599.0,999.0,400,"3.8 out of 5 stars 1,429",3.8,1429,Vans,40.04
Womens LPMXT-801 Casual Clog,387.0,799.0,100,"3.9 out of 5 stars 1,256",3.9,1256,Nike,51.56
"Women and Girls Sneakers, Walking Gym Running Shoes",429.0,1298.0,200,"3.8 out of 5 stars 1,119",3.8,1119,Under Armour,66.95
womens Daisy Sneaker,386.0,599.0,100,"4.1 out of 5 stars 1,227",4.1,1227,Adidas,35.56
Womens Agile Trip WN's Idp Sneaker,1924.0,3499.0,100,4.3 out of 5 stars 343,4.3,343,Puma,45.01
Comfotable Lightweight Casual Lace-up Sneaker for Women/Girls,599.0,999.0,300,"3.7 out of 5 stars 1,738",3.7,1738,New Balance,40.04
Women's Paradise-01 White Casual Sneaker Shoes with Ultra Soft Cushion Lightweight Lace-Up Shoes for Women's & Girl's,639.0,999.0,200,3.7 out of 5 stars 69,3.7,69,Puma,36.04
"Women's Melody-71 Casual Loafer,Sneaker & Moccasins Shoes with Lightweight Extra Cushion Slip-On Casual Sneaker Shoes for Women's & Girl's",599.0,699.0,100,"3.9 out of 5 stars 3,018",3.9,3018,Adidas,14.31
Womens SX0123L Greypink Walking Shoe - 6 UK (SX0123LGYPK0006),699.0,999.0,200,4.3 out of 5 stars 489,4.3,489,Skechers,30.03
Women's Zoe Plus Casual Shoes,749.0,799.0,100,"4.0 out of 5 stars 2,403",4.0,2403,New Balance,6.26
Women & Girls White Casual Sports Shoes Sneakers - 36 EU,490.0,999.0,100,"3.8 out of 5 stars 1,741",3.8,1741,Skechers,50.95
Womens Winter Daisy Sneaker,371.0,599.0,100,4.0 out of 5 stars 911,4.0,911,Reebok,38.06
Sneakers for Women,599.0,999.0,200,3.9 out of 5 stars 560,3.9,560,New Balance,40.04
Jute Handcrafted Women & Girl Casual Sports Shoes Sneaker,1999.0,5498.0,100,2.0 out of 5 stars 1,2.0,1,Vans,63.64
Unisex 530 Mercury Blue Sneakers (MR530CI_New),8399.0,11999.0,100,5.0 out of 5 stars 2,5.0,2,New Balance,30.0
Women's Handcrafted Vegan Leather Brown Mysore Garden Knotted Mule,1349.0,3499.0,100,4.5 out of 5 stars 58,4.5,58,Vans,61.45
Women's Pacer Wn s IDP Sneaker,1555.0,3299.0,100,"4.0 out of 5 stars 1,410",4.0,1410,Vans,52.86
Women White Stylish Casual Sneakers,472.0,999.0,100,4.0 out of 5 stars 343,4.0,343,Adidas,52.75
Women CARA Knit Red Casual Shoes,557.0,899.0,100,4.1 out of 5 stars 373,4.1,373,Under Armour,38.04
Women's Lightweight Athleisure Knitted Active Wear Slip-On Casual Shoes,782.0,2699.0,100,4.1 out of 5 stars 733,4.1,733,Puma,71.03
Womens SX0123L Greypink Walking Shoe - 5 UK (SX0123LGYPK0005),699.0,999.0,100,4.2 out of 5 stars 437,4.2,437,Skechers,30.03
Women's Printed Softy Walking Shoe,314.0,499.0,100,3.6 out of 5 stars 184,3.6,184,Skechers,37.07
Comfotable Lightweight Casual Sneaker for Women/Girls,699.0,999.0,200,4.1 out of 5 stars 136,4.1,136,Nike,30.03
"Memory Foam Women's Shoes for Walking Gym Training,Casual, Sports,Slip-On,Lightweight Lace up Athletics Slipon Running Sneaker for Ladies and Girls",699.0,999.0,100,"4.1 out of 5 stars 3,722",4.1,3722,Under Armour,30.03
"Women's Casual Sneakers Shoes | Soft Cushioned Insole, Slip-Resistance, Dynamic Feet Support, Arch Support & Shock Absorption",1679.0,5599.0,50,4.4 out of 5 stars 34,4.4,34,Skechers,70.01
Womens Selah Sneaker,499.0,799.0,100,4.1 out of 5 stars 372,4.1,372,Vans,37.55
Womens Softy Blue Sneaker - 6 UK (5599318),321.0,399.0,100,4.0 out of 5 stars 448,4.0,448,New Balance,19.55
Womens Everyday Basic Sneakers for Women | Shoes for Women | Comfortable & Lightweight | Casual Sneakers_Shoes_a2Sneaker,299.0,999.0,50,4.0 out of 5 stars 35,4.0,35,New Balance,70.07
Womens Sd0111l Sneaker,454.0,749.0,100,"4.2 out of 5 stars 3,911",4.2,3911,New Balance,39.39
Womens Sport - Squad Chaos - Face Off,2803.0,4999.0,100,4.7 out of 5 stars 679,4.7,679,New Balance,43.93
Womens Sneakers and Comfort Shoes| Sport Shoes and Sneakers for Women Ba 10Women's Sneakers,349.0,999.0,50,3.1 out of 5 stars 31,3.1,31,Under Armour,65.07
"Women's Casual Sneakers Shoes | Soft Cushioned Insole, Slip-Resistance, Dynamic Feet Support, Arch Support & Shock Absorption",1709.0,5699.0,100,4.3 out of 5 stars 153,4.3,153,Vans,70.01
Womens Sx0123lWalking Shoe,799.0,899.0,50,"4.3 out of 5 stars 8,230",4.3,8230,Nike,11.12
Women Casual Shoes,475.0,999.0,100,3.7 out of 5 stars 930,3.7,930,New Balance,52.45
Womens Max Cushioning Elite - DestinRunning Shoe,2803.0,4999.0,100,4.5 out of 5 stars 506,4.5,506,Nike,43.93
