Product_Name,Selling Price,MRP,Items Bought Last Month,Ratings,Numeric_Ratings,Total Ratings,Brand,Offer%
"LG 22Mp68Vq 22 Inch (55 Cm) LCD 1920 X 1080 Pixels IPS Monitor - Full Hd, with Vga, Hdmi, Dvi, Audio Out Ports (Black)",6999.0,14250.0,50,"4.4 out of 5 stars 8,922",4.4,8922,LG,50.88
"LG 22Mp68Vq 22 Inch (55 Cm) LCD 1920 X 1080 Pixels IPS Monitor - Full Hd, with Vga, Hdmi, Dvi, Audio Out Ports (Black)",6999.0,14250.0,200,"4.4 out of 5 stars 8,922",4.4,8922,LG,50.88
"LG 31.5 (80.01cm) QHD (2560x1440) IPS Monitor with AMD FreeSync, HDR 10, Color Calibrated (32QN650), Black",24999.0,36000.0,50,3.9 out of 5 stars 45,3.9,45,LG,30.56
"LG 29"" (73CM) UltraWide™ WFHD LCD 2560 X 1080 Pixels IPS Display Monitor - HDR 10, AMD Freesync, Inbuilt 5W Speaker, Srgb 99%, Multi Tasking Monitor, Hdmi X 2-29WL50S (Black)",17999.0,29999.0,50,4.3 out of 5 stars 387,4.3,387,LG,40.0
"ZEBRONICS AC32FHD LED Curved 75Hz 80Cm (32"") (81.28 Cm) 1920x1080 Pixels FHD Resolution Monitor with HDMI + VGA Dual Input, Built-in Speaker, Max 250 Nits Brightness, Black",10999.0,29999.0,500,"3.8 out of 5 stars 1,366",3.8,1366,NEC,63.34
"Samsung 24-Inch(59.8Cm) Fhd, 75 Hz, 1800R Curved 1,920 X 1,080 LED Monitor, Va Panel, Slim Design, AMD Freesync, Game Mode, Flicker Free, Hdmi, Audio Port (Ls24C360Eawxxl, Black)",7299.0,15700.0,500,"4.4 out of 5 stars 7,882",4.4,7882,Samsung,53.51
"Samsung 24-inch (60.46cm) FHD Flat 1,920 x 1,080 Monitor, IPS, 75 Hz, Bezel Less Design, AMD FreeSync, Flicker Free, HDMI, D-sub, (LS24C310EAWXXL, Black)",7899.0,15400.0,500,"4.3 out of 5 stars 4,408",4.3,4408,Samsung,48.71
"Acer EK240Y H 23.8 Inch (60.4 cm) Full HD (1920x1080) VA Panel LCD Monitor with LED Back Light I 1 MS VRB, 100Hz Refresh Rate I 250 Nits I HDMI & VGA Ports with HDMI Cable I Eye Care Features (Black)",6444.0,9250.0,500,"4.3 out of 5 stars 1,587",4.3,1587,Acer,30.34
"ZEBRONICS 24 Inch (60.4 Cm) Widescreen 1920 X 1080 Pixels LED Monitor, IPS, Ultra Slim, FHD 1920x1080, HDMI, VGA, 250nits, Built in Speaker, Wall mountable, 75hz ZEB-A24FHD, Black",6499.0,24999.0,500,"3.7 out of 5 stars 1,355",3.7,1355,Samsung,74.0
"LG Electronics 60 cm/24 inches Full HD IPS 1920 x 1080 Pixels LCD Monitor, Inbuilt Speaker, HDMI x 2, VGA Port, 75 Hz Refresh Rate, AMD Freesync, 3 Side Borderless Slim Design - 24ML600S-W (White)",8849.0,18000.0,500,"4.4 out of 5 stars 3,378",4.4,3378,LG,50.84
"Acer HA270 27 Inch (68.58 Cm) 1920 X 1080 Pixels, Full HD IPS LCD Monitor with LED Back Light Technology I Ultra Slim, 6.6mm Thick Frameless Design AMD Free Sync Monitor (White)",8870.0,21900.0,1000,"4.3 out of 5 stars 3,035",4.3,3035,Acer,59.5
"FRONTECH 20 Inch (50.8 cm) with 1600 x 900 Pixels LED Monitor | Refresh Rate 75 Hz | Slim and Stylish Design | Wall Mountable | 16.7M Colors | HDMI & VGA Ports (MON-0054, Black)",3249.0,8000.0,500,3.4 out of 5 stars 828,3.4,828,BenQ,59.39
"BenQ GW2780 27 inch (68 cm) 1920 x 1080 Pixels IPS Full HD Ultra-Slim Bezel Monitor- Eye Care, Anti-Glare, Brightness Intelligence, Speakers, Low Blue Light, HDMI, DP, VESA Wall Mountable (Black)",10990.0,17990.0,300,"4.4 out of 5 stars 20,722",4.4,20722,BenQ,38.91
"LG Electronics 29"" (73Cm) Ultrawide 21:9 Wfhd LCD 2560 X 1080 Pixels IPS Display Monitor- HDR 10, AMD Freesync, Srgb 99%, Slim Bezel, Multitasking Monitor, Hdmi X 2, 29Wl500 (Black)",15399.0,23000.0,100,4.3 out of 5 stars 247,4.3,247,LG,33.05
"LG 24 inch (60 cm) QHD (2K) 2560 x 1440 Pixels, IPS-sRGB 99%, Height Adjust, Pivot (2Way), Swivel, Display Port, HDMIx 2, 3 Side Slim Border, Black Color - 24QP550",15099.0,17100.0,100,4.6 out of 5 stars 243,4.6,243,LG,11.7
"Flowlyf Wooden Premium Monitor Arm | 17-32"" Screen Monitor mount | Spring Assisted Height Adjustability| |360 Degree Rotation|2 STEP Installation |VESA Complaint|2 Way Wire Manager|9KG Weight Capacity",2990.0,7490.0,300,4.3 out of 5 stars 217,4.3,217,Sony,60.08
"Acer Nitro QG221Q 21.5 Inch (54.61 cm) Full HD Gaming LCD Monitor with LED Backlight I VA Panel I 1 MS VRB, 100 Hz Refresh I HDMI, VGA I Stereo Speakers I 250 Nits I AMD Free Sync I Eye Care (Black)",5829.0,9999.0,500,4.2 out of 5 stars 553,4.2,553,Acer,41.7
"ZEBRONICS Zeb-V19Hd 18.5 Inch (46.99 Cm) Led Monitor with Supporting Hdmi, Vga Input, Hd 1366 X 768 Pixels, 16.7M Colors, Glossy Panel, Slim Design & Wall Mountable, Black",3299.0,6999.0,300,"3.6 out of 5 stars 3,452",3.6,3452,Acer,52.86
"LG Ultragear IPS Gaming Monitor 60 cm (24 Inches), FHD 1920 x 1080, 1ms, 144Hz, AMD FreeSync Compatible, HDR 10, sRGB 99% (Typ.), DP, HDMI, Height, Tilt & Pivot Adjust Stand, 24GN65R (Black)",11899.0,23000.0,300,"4.5 out of 5 stars 1,288",4.5,1288,LG,48.27
"LG UltraWide 29 inch (73 cm) IPS FHD, 2560x1080 Pixels, Color Calibrated, 100Hz, 7W x 2 Inbuilt Speaker, USB-C, Display Port, HDMI, White Color-29WQ600",17899.0,26000.0,200,4.2 out of 5 stars 232,4.2,232,LG,31.16
"Lenovo L-Series 54.48 cm (21.45 inch) FHD Ultraslim Monitor |16.7 Mn Colors, 75Hz, 4ms, AMD FreeSync, HDMI, TUV Eye Comfort & Low Blue Light, Smart Display Customization Artery L22e-40",6899.0,9990.0,300,4.4 out of 5 stars 31,4.4,31,Philips,30.94
"MSI G2412 Esports Gaming Monitor 23.8 Inch Full HD (1920x1080) IPS Panel 170Hz Refresh Rate 1ms Wide Color Gamut, AMD FreeSync Premium, Anti Glare, Less Blue Light, VESA Mount Black",9999.0,22200.0,200,4.4 out of 5 stars 352,4.4,352,AOC,54.96
"Acer Nitro VG240Y M3 23.8 Inch IPS Full HD Gaming LCD Monitor with LED Backlight I AMD Freesync Premium I 0.5 MS Response, 180 Hz Refresh Rate I 2 x HDMI, 1 x DP I Stereo Speakers I HDR 10 I Black",9944.0,13999.0,200,"4.3 out of 5 stars 2,370",4.3,2370,Acer,28.97
"LG Ultragear 69 cm IPS FHD, G-Sync Compatible, HDR 10, Gaming LCD Monitor, Display Port, HDMI x 2, Height Adjust & Pivot Stand, 144Hz, 1ms, 1920 x 1080 Pixels Made in India- 27GL650F (Black)",15499.0,32000.0,50,"4.4 out of 5 stars 5,903",4.4,5903,LG,51.57
"Dime Store Wooden Monitor Stand with Storage Organizer For Desk, Tables, Office, Home, Studio, Study Table | Desktop Ergonomic Monitor Stand Riser (Medium, Brown)",699.0,1999.0,200,4.0 out of 5 stars 304,4.0,304,BenQ,65.03
"Lenovo L-Series 60.45 cm (24 inch) 1920 x 1080 Pixels FHD IPS Ultraslim Monitor | 16.7 Million Colors, 75Hz, AMD FreeSync, HDMI, Tilt, VESA Mount, Smart Display Customization Artery - L24i-30, Black",7699.0,18890.0,200,4.4 out of 5 stars 665,4.4,665,Lenovo,59.24
"Dell -S2721Hnm (68.96Cm)Fhd Monitor 1920 X 1080 @75Hz,Minimalistic Design,Ips Panel,Brightness: 300 Cd/M²,Colour Gamut: 99% Srgb,Response Time: 4Ms Extreme,4Ms,5 Year Warranty Weight: 5.09 Kg.,Silver",12299.0,33989.0,200,4.5 out of 5 stars 276,4.5,276,Dell,63.81
Acer ED320QR 31.5 Inch Full HD VA Panel 1500R Curved Backlight LED LCD Monitor I 1 MS VRB I 165Hz Refresh Rate I AMD Free Sync Premium I HDR 10 I 2 X HDMI 1 X Display Port I Eye Care Features I Black,15910.0,20999.0,200,4.2 out of 5 stars 254,4.2,254,Acer,24.23
