Product_Name,Selling Price,MRP,Items Bought Last Month,Ratings,Numeric_Ratings,Total Ratings,Brand,Offer%
"Galaxy Tab A9 22.10 cm (8.7 inch) Display, RAM 4 GB, ROM 64 GB Expandable, Wi-Fi Tablet, Gray",13490.0,14999.0,100,3.7 out of 5 stars 67,3.7,67,Google (Pixel Slate),10.06
"Galaxy Tab A7 Lite 22.05 cm (8.7 inch), Slim Metal Body, Dolby Atmos Sound, RAM 3 GB, ROM 32 GB Expandable, Wi-Fi-only Tablet, Gray",9499.0,14500.0,300,"4.2 out of 5 stars 5,651",4.2,5651,Apple (iPad),34.49
"Galaxy Tab S9 27.81 cm (11 inch) Dynamic AMOLED 2X Display, RAM 8 GB, ROM 128 GB Expandable, S Pen in-Box, Wi-Fi Tablet, Gray",65990.0,81999.0,100,4.4 out of 5 stars 41,4.4,41,Xiaomi (Mi Pad),19.52
"Galaxy Tab S6 Lite 26.31 cm (10.4 inch), S-Pen in Box, Slim and Light, Dolby Atmos Sound, 4 GB RAM, 64 GB ROM, Wi-Fi Tablet, Gray",21999.0,30999.0,1000,"4.4 out of 5 stars 2,075",4.4,2075,Apple (iPad),29.03
"Galaxy Tab A9+ 27.94 cm (11.0 inch) Display, RAM 8 GB, ROM 128 GB Expandable, Wi-Fi Tablet, Graphite",19999.0,27999.0,1000,4.0 out of 5 stars 111,4.0,111,Lenovo (Tab series),28.57
"Pad 6| Qualcomm Snapdragon 870| 144Hz Refresh Rate| 8GB, 256GB| 2.8K+ Display (11-inch/27.81cm)|1 Billion Colours| Dolby Vision Atmos| Quad Speakers| Wi-Fi| Gray",26998.0,41999.0,1000,"4.4 out of 5 stars 2,086",4.4,2086,Amazon (Kindle Fire),35.72
Pad 2 6 GB RAM 128 GB ROM 11.5 inch with Wi-Fi+4G Tablet (Imagination Grey),17999.0,28999.0,500,4.0 out of 5 stars 46,4.0,46,Apple (iPad),37.93
"Pad | MediaTek Helio G99 | 26.95cm (10.61 inch) 2K Resolution & 90Hz Refresh Rate Display | 4GB RAM & 128GB Storage, Expandable up to 1TB | Quad Speaker - Dolby Atmos | Wi-Fi | Graphite Gray",13999.0,28999.0,1000,"4.4 out of 5 stars 1,687",4.4,1687,Lenovo (Tab series),51.73
"Tab M10 FHD 3rd Gen| 10.1 Inch (25.65 cm) | 4 GB RAM, 64 GB ROM| Wi-Fi | Full HD Display| Dual Speakers| Octa-Core Processor (Storm Grey)",9999.0,26000.0,500,4.0 out of 5 stars 698,4.0,698,Lenovo (Tab series),61.54
"Pad Go 28.85cm (11.35 inch) 2.4K 7:5 Ratio ReadFit Eye Care LCD Display, Dolby Atmos Quad Speakers, 4G LTE(Calling) + Wi-Fi Connectivity Tablet, 8GB RAM 128 GB Storage Expandable Up-to 1TB",21999.0,0.0,1000,4.4 out of 5 stars 364,4.4,364,Google (Pixel Slate),0.0
"Pad X9 with Free Flip-Cover 11.5-inch (29.21 cm) 2K Display, Snapdragon 685, 7GB (4GB+3GB RAM Turbo), 128GB Storage, 6 Speakers, Up-to 13 Hours Battery, Android 13, WiFi Tablet, Metal Body, Gray",14999.0,25999.0,500,"4.3 out of 5 stars 1,299",4.3,1299,Lenovo (Tab series),42.31
"Galaxy Tab S7 FE 31.5 cm (12.4 inch) Large Display, S-Pen in Box, Slim Metal Body, Dolby Atmos Sound, RAM 4 GB, ROM 64 GB Expandable, Wi-Fi Tablet, Mystic Black",32999.0,49999.0,400,"4.5 out of 5 stars 2,921",4.5,2921,Samsung (Galaxy Tab),34.0
"Galaxy Tab S9 FE 27.69 cm (10.9 inch) Display, RAM 8 GB, ROM 256 GB Expandable, S Pen in-Box, WiFi+5G, IP68 Tablet, Gray",53999.0,61999.0,100,4.3 out of 5 stars 53,4.3,53,Microsoft (Surface),12.9
Trailokya Chintamani Ras (10Tablet),721.0,0.0,100,4.2 out of 5 stars 24,4.2,24,Microsoft (Surface),0.0
"N10 4G Calling Tablet (10 Inch IPS Display, 2GB Ram, 16GB Storage, Dual Sim, Blue)",7999.0,9999.0,100,3.1 out of 5 stars 49,3.1,49,Apple (iPad),20.0
"Tab P11 (2nd Gen)| 11.5 Inch| 6 GB, 128 GB Expandable| Wi-Fi + LTE| 120 Hz, 2K Display(2000x1200)|Quad Speakers with Dolby Atmos|Octa-Core Processor |13 MP Front Camera (Storm Grey, ZABG0285IN)",17999.0,39000.0,300,4.1 out of 5 stars 738,4.1,738,Huawei (MediaPad),53.85
"Tab P12| 12.7 Inch| 8 GB, 128 GB Expandable| 3K Display| 10200 mAh Battery| JBL Quad Speakers with Dolby Atmos|Wi-Fi 6 Certified| Octa-Core Processor|13 MP Front Camera (Storm Grey, ZACH0070IN)",24999.0,40000.0,300,4.3 out of 5 stars 64,4.3,64,Microsoft (Surface),37.5
"Galaxy Tab S8 | 27.81cm (11.0"") LCD Display | 4nm Processor | 8,000 mAh Battery | Dolby Atmos Quad Speakers | Android 12.0 | 8GB+128GB | Wi-Fi | S Pen Support | Graphite",47999.0,66999.0,300,4.6 out of 5 stars 651,4.6,651,Microsoft (Surface),28.36
"Pad 29.49cm (11.61 inch) LCD Display, 12GB RAM,256GB Storage, MediaTek Dimensity 9000, Android 13.1, 144HZ Refresh Rate, Dolby Vision Atmos, Wi-Fi with Cellular Data Sharing Tablet",36999.0,39999.0,500,4.5 out of 5 stars 465,4.5,465,Xiaomi (Mi Pad),7.5
"Galaxy Tab A9 22.10 cm (8.7 inch) Display, RAM 4 GB, ROM 64 GB Expandable, Wi-Fi+4G, Tablet, Gray",14999.0,19999.0,200,3.7 out of 5 stars 67,3.7,67,Microsoft (Surface),25.0
"Pad Mini WiFi+4G Tablet | 6GB RAM 128GB ROM (Expandable), 22.1cm (8.7 inch) Cinematic Display | 6400 mAh Battery | Dual Speakers | Grey Colour",11999.0,25999.0,100,3.6 out of 5 stars 11,3.6,11,Amazon (Kindle Fire),53.85
"Tab M10 HD (2nd Gen)|10.1 Inch (25.6 cm) |3 GB RAM, 32 GB ROM Expandable|Wi-Fi + 4G LTE |Dual Speaker with Dolby Atmos| Color: Iron Grey (ZA6V0236IN)",8999.0,22000.0,100,4.1 out of 5 stars 60,4.1,60,Microsoft (Surface),59.1
"2022 10.9-inch iPad (Wi-Fi, 64GB) - Blue (10th Generation)",36999.0,39900.0,200,4.6 out of 5 stars 670,4.6,670,Xiaomi (Mi Pad),7.27
"Tab M10 5G |10.6 inch (26.9cm)| 6 GB, 128 GB Expandable|Wi-Fi+ 5G | 90 Hz, 2K Display (2000x1200)|Dual Speakers with Dolby Atmos |Android 13 | Octa-Core Processor (Abyss Blue, ZACT0030IN)",24999.0,47000.0,100,3.8 out of 5 stars 105,3.8,105,ASUS (ZenPad),46.81
"Tab M10 FHD Plus (3rd Gen) (10.61 inch (26.94 cm), 6 GB, 128 GB, Wi-Fi+LTE, Calling), Storm Grey with Qualcomm Snapdragon Processor, 7700 mAH Battery and Quad Speakers with Dolby Atmos",18999.0,34000.0,200,4.1 out of 5 stars 790,4.1,790,Samsung (Galaxy Tab),44.12
"Tab G70 | 11 Inch Display, 2K Resolution | 4 GB RAM, 64 GB ROM | Wi-Fi + 4G | Mediatek Helio G90T Processor | Quadcore Speakers with Dolby Atmos | Face Unlock Feature & Google Assistant",14999.0,35000.0,100,3.7 out of 5 stars 204,3.7,204,Sony (Xperia Tablet),57.15
"Tab M10 HD LED Tablet (10.1-inch, 2GB, 16GB, Cellular, WiFi Calling + WiFi, Volte Black)",6899.0,20000.0,100,3.4 out of 5 stars 100,3.4,100,Microsoft (Surface),65.5
"Tab M9 | 9 Inch (22.86 cm)| 3 GB RAM, 32 GB ROM Expandable| Wi-Fi | Dual Speaker with Dolby Atmos| Octa-Core Processor| Color: Arctic Grey (ZAC40038IN)",7999.0,16000.0,200,4.1 out of 5 stars 143,4.1,143,Google (Pixel Slate),50.01
"Pad Mini WiFi+4G Tablet | 4GB RAM 64GB ROM (Expandable), 22.1cm (8.7 inch) Cinematic Display | 6400 mAh Battery | Dual Speakers | Grey Colour",12999.0,23999.0,100,4.1 out of 5 stars 222,4.1,222,Apple (iPad),45.84
"Tab P11 Plus (11 Inch (27.94 Cm), P11 Keyboard Included, 6 Gb Ram, 128 Gb ROM, Wi-Fi + LTE, 2K Display, Quad Speakers with Dolby Atmos, 7700 Mah Battery and Tuv Certified Eye Protection), Grey",19999.0,39000.0,200,4.1 out of 5 stars 738,4.1,738,Xiaomi (Mi Pad),48.72
"Pad Mini WiFi+4G Tablet | 6GB RAM 128GB ROM (Expandable), 22.1cm (8.7 inch) Cinematic Display | 6400 mAh Battery | Dual Speakers | Blue Colour",11999.0,14999.0,50,3.7 out of 5 stars 67,3.7,67,Google (Pixel Slate),20.0
"Pad X WiFi+5G Tablet | 6GB RAM 128GB ROM (Expandable), 27.9cm (11 inch) WUXGA+ Display | 6nm SD Processor | Dolby Atmos Quad Speakers | 8340 mAh Battery | Grey Colour",27269.0,44999.0,50,4.3 out of 5 stars 534,4.3,534,Google (Pixel Slate),39.4
"2022 iPad Air M1 Chip (10.9-inch/27.69 cm, Wi-Fi, 64GB) - Blue (5th Generation)",53249.0,59900.0,50,4.7 out of 5 stars 792,4.7,792,Google (Pixel Slate),11.1
"Galaxy Tab A8 10.5 inches Display with Calling, RAM 4 GB, ROM 64 GB Expandable, Wi-Fi+LTE Tablets, Gray, (SM-X205NZAEINU)",17399.0,28799.0,200,"4.3 out of 5 stars 5,093",4.3,5093,Xiaomi (Mi Pad),39.58
"Tab K10 FHD (10.3 inch (26.16 cm, 3 GB, 32 GB,Wi-Fi+LTE, Voice Calling), Abyss Blue TUV Certified Eye Protection, Dolby Atmos, 7500 mAH Battery, Camera with Flash",10999.0,30000.0,100,4.0 out of 5 stars 427,4.0,427,Huawei (MediaPad),63.34
"Galaxy Tab S9 FE 27.69 cm (10.9 inch) Display, RAM 6 GB, ROM 128 GB Expandable, S Pen in-Box, WiFi+5G, IP68 Tablet, Gray",46990.0,54999.0,50,4.3 out of 5 stars 53,4.3,53,Amazon (Kindle Fire),14.56
Sarpagandha Tablet-50 Tab (Pack Of 2),210.0,0.0,100,4.3 out of 5 stars 67,4.3,67,Apple (iPad),0.0
"Tab M9 | 9 Inch (22.86 cm) 3 GB RAM, 32 GB ROM Expandable| Wi-Fi & 4G LTE| Dual Speaker with Dolby Atmos| Octa-Core Processor| Color: Arctic Grey (ZAC60040IN)",8499.0,17000.0,50,4.1 out of 5 stars 45,4.1,45,Apple (iPad),50.01
"Calling Tab M8 2nd Gen Tablet (8-inch, 2GB, 32GB, Wi-Fi + 4G LTE + Calling), Iron Grey",7000.0,16000.0,100,3.8 out of 5 stars 505,3.8,505,Xiaomi (Mi Pad),56.25
"Pad Mini WiFi+4G Tablet | 4GB RAM 64GB ROM (Expandable), 22.1cm (8.7 inch) Cinematic Display | 6400 mAh Battery | Dual Speakers | Blue Colour",11095.0,15999.0,200,4.1 out of 5 stars 99,4.1,99,Apple (iPad),30.65
"N7 WiFi Tablet with 7"" Display and 16GB Storage (Black)",3489.0,5999.0,50,3.0 out of 5 stars 3,3.0,3,Apple (iPad),41.84
"Tab M10 HD 2nd Gen (10.1 inch(25cm), 2 GB, 32 GB, Wi-Fi+4G LTE), Platinum Grey with Metallic Body and Octa Core Processor",8040.0,20000.0,100,"3.8 out of 5 stars 1,120",3.8,1120,Microsoft (Surface),59.8
"2022 iPad Air M1 Chip (10.9-inch/27.69 cm, Wi-Fi, 64GB) - Purple (5th Generation)",53249.0,59900.0,50,4.6 out of 5 stars 227,4.6,227,Lenovo (Tab series),11.1
"Tab P11 Pro Gen-2 (11.2 Inch OLED Display with Precision Pen-3, 8 GB RAM, 256 GB ROM, 120 Hz Refresh Rate, 600 Nits Brightness, Quad JBL Speakers, 8200 mAh Battery, Corning Gorilla Glass)",43999.0,50000.0,100,3.9 out of 5 stars 29,3.9,29,Sony (Xperia Tablet),12.0
"PAD 8 30.40 cm (12"") 2K Display, Qualcomm Snapdragon 680, 4GB RAM, 128GB Storage, 8 Speakers, Android 12, Tuv Certified Eye Protection, Up to 14 Hours Battery, WiFi Tablet, Metal Body, Blue Hour",14999.0,29999.0,100,4.3 out of 5 stars 222,4.3,222,Xiaomi (Mi Pad),50.0
"2022 iPad Air M1 Chip (10.9-inch/27.69 cm, Wi-Fi, 256GB) - Blue (5th Generation)",67499.0,74900.0,50,4.7 out of 5 stars 223,4.7,223,Amazon (Kindle Fire),9.88
"Tab M10 HD Tablet (10.1 inches, 3GB, 32GB, Wi-Fi + 4G LTE), Slate Black",9000.0,24000.0,100,4.0 out of 5 stars 172,4.0,172,Amazon (Kindle Fire),62.5
"Tab M8 HD Tablets (8-inches(20cm), 2GB, 32GB, Wi-Fi Only), Grey",7399.0,14000.0,100,"4.0 out of 5 stars 6,309",4.0,6309,Sony (Xperia Tablet),47.15
Keraglo Eva Tablet (30 tablets) For Hair BOTTLE,570.0,0.0,100,5.0 out of 5 stars 2,5.0,2,Apple (iPad),0.0
"M10 FHD REL Tablet (10.1-inch, 2GB, 32GB, Bluetooth, WiFi + LTE + Volte Calling), Black",7749.0,27500.0,50,"3.9 out of 5 stars 1,383",3.9,1383,Xiaomi (Mi Pad),71.82
"Galaxy Tab S9 FE+ 31.50 cm (12.4 inch) Display, RAM 8 GB, ROM 128 GB Expandable, S Pen in-Box, WiFi+5G, IP68 Tablet, Gray",55999.0,69999.0,100,4.1 out of 5 stars 22,4.1,22,Lenovo (Tab series),20.0
"T21 with 10.36"" 2K Screen, Android 12 with 2 Years of Os Upgrades & 3 Years of Security Updates, 4Gb Ram, 64Gb Storage with Support for Active Pen, Voice Calling | Wi-Fi + LTE, Grey",14519.0,20999.0,50,3.9 out of 5 stars 181,3.9,181,Apple (iPad),30.86
"Slate SS5 OS10 7-inch Display, 4G Tablet PC, Volte, LTE Calling, 2GB RAM, 32GB Storage, SIM, GPS, Bluetooth, WiFi, OctaCore CPU.Blue",4999.0,11990.0,100,5.0 out of 5 stars 3,5.0,3,Apple (iPad),58.31
"Tab M7 3rd Gen (7 inch(17.7cm), 2 GB, 32 GB, Wi-fi Only), Iron Grey",6499.0,9900.0,100,3.9 out of 5 stars 441,3.9,441,Apple (iPad),34.35
"Tab M9 | 9 Inch (22.86 cm) with Free - TPU Back Cover/Stand| 3 GB RAM, 32 GB ROM Expandable| Wi-Fi & 4G LTE| Dual Speaker with Dolby Atmos| Octa-Core Processor| Color: Arctic Grey (ZAC50120IN)",10999.0,18000.0,50,4.1 out of 5 stars 45,4.1,45,Lenovo (Tab series),38.89
"Pad Mini WiFi Tablet | 4GB RAM 64GB ROM (Expandable), 22.1cm (8.7 inch) Cinematic Display | 6400 mAh Battery | Dual Speakers | Blue Colour",9999.0,19999.0,100,4.1 out of 5 stars 548,4.1,548,ASUS (ZenPad),50.0
"2021 iPad Mini with A15 Bionic chip (Wi-Fi, 64GB) - Space Grey (6th Generation)",45999.0,49900.0,100,4.6 out of 5 stars 540,4.6,540,Lenovo (Tab series),7.82
"2022 11-inch iPad Pro (Wi-Fi, 128GB) - Silver (4th Generation)",78400.0,81900.0,100,4.7 out of 5 stars 401,4.7,401,Apple (iPad),4.27
"PAD ONE (10.1 inch Tablet, 4GB RAM, 128 GB ROM, 4G Volte Calling) - Light Blue Bluetooth;Wi-Fi",9999.0,17999.0,100,3.6 out of 5 stars 126,3.6,126,ASUS (ZenPad),44.45
"Galaxy Tab S9 27.81 cm (11 inch) Dynamic AMOLED 2X Display, RAM 12 GB, ROM 256 GB Expandable, S Pen in-Box, Wi-Fi Tablet, Gray",74490.0,93999.0,100,4.4 out of 5 stars 41,4.4,41,Huawei (MediaPad),20.75
"2021 10.2-inch (25.91 cm) iPad with A13 Bionic chip (Wi-Fi, 256GB) - Silver (9th Generation)",43999.0,48900.0,100,4.6 out of 5 stars 446,4.6,446,Huawei (MediaPad),10.02
"2022 iPad Air M1 Chip (10.9-inch/27.69 cm, Wi-Fi, 64GB) - Pink (5th Generation)",53249.0,59900.0,100,4.6 out of 5 stars 135,4.6,135,Amazon (Kindle Fire),11.1
"Galaxy Tab A 10.1 Wi-Fi Tablet 10.1 inches, RAM 2 GB, ROM 32GB, Black",12999.0,16500.0,100,"4.4 out of 5 stars 9,827",4.4,9827,Amazon (Kindle Fire),21.22
Pad WiFi+4G Tablet | 3GB RAM 32GB ROM (Expandable) | 26.4cm (10.4 inch) WUXGA+ Display | 7100 mAh Battery | Dolby Atmos Quad Speaker | Grey Colour,12349.0,24999.0,100,"4.2 out of 5 stars 1,940",4.2,1940,Apple (iPad),50.6
"Galaxy J Max Tablet (7 inch, 8GB,4G+Wi-Fi with Voice Calling), Black",6990.0,13990.0,50,3.7 out of 5 stars 208,3.7,208,Sony (Xperia Tablet),50.04
"Tab M10 HD 2nd Gen (10.1 inch(25cm), 4 GB, 64 GB, Wi-Fi+LTE), Platinum Grey with Metallic Body and Octa-core Processor",15799.0,30000.0,100,"4.1 out of 5 stars 1,673",4.1,1673,Amazon (Kindle Fire),47.34
"Galaxy Tab A 10.1 Wi-Fi+4G Tablet 25.65 cm (10.1 inch), RAM 2 GB, ROM 32GB, Black",12999.0,21500.0,50,"4.3 out of 5 stars 1,131",4.3,1131,Huawei (MediaPad),39.54
"Slate SL36 OS9 SE 10.1-Inch Tablet, 4G, Dual SIM, 2GB RAM | 32GB Storage, IPS LCD, Bluetooth, GPS (Black)",7039.0,23990.0,100,5.0 out of 5 stars 5,5.0,5,Amazon (Kindle Fire),70.66
"T10 Android 12 Tablet with 8 Inches Hd Display, 8Mp Rear Camera, Ai Face Unlock, All-Day Battery, WiFi + 4G Volte | 4 + 64Gb, Blue",11999.0,15499.0,100,3.9 out of 5 stars 314,3.9,314,Xiaomi (Mi Pad),22.58
"Galaxy Tab A7 Lite 8.7"" 32GB Android Tablet w/ Compact, Slim Design, Sturdy Metal Frame, Long Lasting Battery, SM-T220NZAAXAR, Gray Wi-Fi",9999.0,14500.0,100,"4.5 out of 5 stars 16,730",4.5,16730,Lenovo (Tab series),31.04
Tab G70 8GB RAM 512GB Storage with Logitech K480 Wireless Multi-Device Keyboard - Black,16998.0,38295.0,100,3.1 out of 5 stars 24,3.1,24,Google (Pixel Slate),55.61
"Tab M10 HD Tablet (10.1-inch(25cm), 2GB, 32GB, Wi-Fi + 4G LTE, Volte Calling), Slate Black",8699.0,21000.0,100,"4.0 out of 5 stars 2,949",4.0,2949,Amazon (Kindle Fire),58.58
"Slate SS5 OS10 7-inch Display, 4G Tablet PC, LTE Calling, Volte, 2GB RAM, 32GB Storage, SIM, GPS, Bluetooth, WiFi, OctaCore CPU.(Blue)",4999.0,11990.0,100,5.0 out of 5 stars 2,5.0,2,ASUS (ZenPad),58.31
"Slate SLP9 (10.1 Inch) Tablet PC, Dual SIM 4G LTE Volte Calling + WiFi, IPS LCD, 4GB RAM, 64GB Inbuilt Storage, 512 GB Expandable Storage, GPS, Bluetooth -Grey",10439.0,29990.0,100,4.1 out of 5 stars 4,4.1,4,Sony (Xperia Tablet),65.19
"N11 WiFi Tablet (2GB, 16GB) (Black)",3499.0,5999.0,100,3.7 out of 5 stars 67,3.7,67,Xiaomi (Mi Pad),41.67
"N17 4G Calling Tablet (8"" HD Display, 3GB, 32GB, Dual Sim+WiFi) (Black)",6499.0,8499.0,100,2.2 out of 5 stars 19,2.2,19,Samsung (Galaxy Tab),23.53
"Galaxy Tab S9 Ultra 36.99 cm (14.6 inch) Dynamic AMOLED 2X Display, RAM 12 GB, ROM 256 GB Expandable, S Pen in-Box, Wi-Fi + 5G Tablet, Gray",114999.0,137999.0,100,4.4 out of 5 stars 29,4.4,29,Huawei (MediaPad),16.67
"2022 iPad Air M1 Chip (10.9-inch/27.69 cm, Wi-Fi, 256GB) - Pink (5th Generation)",67499.0,74900.0,100,4.6 out of 5 stars 51,4.6,51,Sony (Xperia Tablet),9.88
"2022 iPad Air M1 Chip (10.9-inch/27.69 cm, Wi-Fi + Cellular, 64GB) - Blue (5th Generation)",67499.0,74900.0,100,4.6 out of 5 stars 28,4.6,28,Xiaomi (Mi Pad),9.88
"Tab P12 Pro AMOLED (12.6 inch (32 cm), 8 GB, 256 GB, Wi-fi Only), Storm Grey with Precision Pen 3 & Tempered Glass",50460.0,86999.0,100,4.1 out of 5 stars 23,4.1,23,Apple (iPad),42.0
"Pad 5| Qualcomm Snapdragon 860| 120Hz Refresh Rate| 6GB, 128GB| 2.5K+ Display (10.95-inch/27.81cm)|1 Billion Colours| Dolby Vision Atmos| Quad Speakers| Wi-Fi| Gray",25900.0,37999.0,100,"4.5 out of 5 stars 4,272",4.5,4272,Samsung (Galaxy Tab),31.84
"Tab M10 Fhd Plus (2Nd Gen) (10.3 Inch, 4Gb, 128 Gb, Wi-Fi + LTE, Volte Calling, Platinum Grey) Kids Mode with Parental Control, Posture Alert,Dolby Atmos Speakers, Tuv Certified Eye Protection",19999.0,0.0,100,"4.1 out of 5 stars 9,334",4.1,9334,Apple (iPad),0.0
Varanadi Kwath Tablet 100 Tab,323.0,0.0,100,4.3 out of 5 stars 104,4.3,104,Amazon (Kindle Fire),0.0
"Tab M9 | 9 Inch (22.86 cm) HD Display| 4 GB RAM, 64 GB ROM Expandable| Wi-Fi | Dual Speaker with Dolby Atmos| Octa-Core Processor| Color: Frost Blue (ZAC30021IN, Frost Blue)",11499.0,19000.0,100,3.7 out of 5 stars 67,3.7,67,Microsoft (Surface),39.48
"Pad | MediaTek Helio G99 | 26.95cm (10.61 inch) 2K Resolution & 90Hz Refresh Rate Display | 3GB RAM & 64GB Storage, Expandable up to 1TB | Quad Speaker - Dolby Atmos | Wi-Fi | Graphite Gray",12499.0,21999.0,100,3.7 out of 5 stars 67,3.7,67,Microsoft (Surface),43.18
"N7 WiFi Tablet (7"" Display, 2GB, 16GB, Only WiFi) (Black)",3489.0,5999.0,100,2.4 out of 5 stars 8,2.4,8,Microsoft (Surface),41.84
"2022 12.9-inch iPad Pro (Wi-Fi, 512GB) - Space Grey (6th Generation)",133999.0,142900.0,100,4.5 out of 5 stars 106,4.5,106,Amazon (Kindle Fire),6.23
Punarnavadi Kwath Tablet 100 Nos,323.0,0.0,100,4.5 out of 5 stars 39,4.5,39,Apple (iPad),0.0
"Galaxy Tab A7 Lite 22.05 cm (8.7 inch), Slim Metal Body, Dolby Atmos Sound, RAM 3 GB, ROM 32 GB Expandable, Wi-Fi-only Tablet, Gray & Cover",9998.0,16499.0,100,3.7 out of 5 stars 67,3.7,67,Huawei (MediaPad),39.4
Diabeat | 60 Capsules | All-natural Herbal Remedy | Blood Sugar Control | Suitable for Diabetes Care| Naturally Regulates Metabolism | Pack of 1,74.0,74.0,100,3.9 out of 5 stars 27,3.9,27,Amazon (Kindle Fire),0.0
"3 Pieces Mobile Opener Professional Spudger Tool Kit Double Sided Metal Spudger, Flat Spudger and Non-Conductive Nylon Spudger For Smartphone, Tablet, Laptop Repairing",249.0,399.0,100,4.0 out of 5 stars 77,4.0,77,Samsung (Galaxy Tab),37.59
FORMULA D TABLET 75 BAKSON,215.0,0.0,100,3.7 out of 5 stars 67,3.7,67,ASUS (ZenPad),0.0
"65 Inches Ultra Touch Series Interactive Flat Panel |4Gb Ram 32Gb Rom | Multipurpose Screen Display For Schools, College, Institute And Office Use",106557.0,199999.0,100,4.7 out of 5 stars 22,4.7,22,Samsung (Galaxy Tab),46.72
Mahathikthakam Kwath Tablet 100 Tab,508.73,0.0,100,4.6 out of 5 stars 15,4.6,15,ASUS (ZenPad),0.0
Azkera Tablet (Pack of 3),499.0,0.0,100,4.1 out of 5 stars 2,4.1,2,Apple (iPad),0.0
