Product_Name,Selling Price,MRP,Items Bought Last Month,Ratings
"363 L, 3 Star, Convertible 5-in-1 Digital Inverter, with Display Frost Free Double Door Refrigerator (RT39C553EBX/HL, Luxe Black, 2023 Model)","₹43,490","65,990",100+ bought in past month,4.1 out of 5 stars 546
Relay and Overload Compatible with Whirlpool Single Door Refrigerator (White),₹450,,,3.9 out of 5 stars 34
"42 L 5 Star Mini Bar Single Door Refrigerators (HRD-55KS, Black Steel)","₹9,999","13,490",600+ bought in past month,"4.3 out of 5 stars 2,126"
"42 L 5 Star Mini Bar Single Door Refrigerators (HRD-55KS, Black Steel)","₹9,999","13,490",,"4.3 out of 5 stars 2,126"
"165 L 1 Star Direct Cool Single Door Refrigerator Appliance (2023 Model, HED-171RS-P, Red Steel)","₹10,990","14,990",600+ bought in past month,"4.0 out of 5 stars 1,497"
"400L 2 Star Prime Convertible 6-Stage Smart Inverter Frost-Free Double Door Bottom Mount Refrigerator (NR- BK415BQKN, Diamond Black,Jumbo Fresh Vegetable Basket,Net Capacity 357L,2023 Model)","₹54,490","77,490",,5.0 out of 5 stars 2
"184 L 2 Star Direct-Cool Single Door Refrigerator (205 WDE PRM 2S WINE BLOOM-Z, 2023 Model)","₹12,990","17,000",,4.1 out of 5 stars 489
"322 L 3 Star Frost-Free Smart Inverter Double Door Refrigerator (2023 Model, GL-S342SDSX, Dazzle Steel, Convertible with Express Freeze)","₹34,990","46,999",100+ bought in past month,"4.3 out of 5 stars 1,284"
"189 L, 5 Star, Digital Inverter, Direct-Cool Single Door Refrigerator (RR21C2H25CR/HL, Red, Camellia Purple, Base Stand Drawer, 2023 Model)","₹17,890","24,999",200+ bought in past month,"4.3 out of 5 stars 4,817"
"189 L, 5 Star, Digi-Touch Cool Digital Inverter, with Display Direct-Cool Single Door Refrigerator (RR21C2F25NJ/HL,Orange Blossom Red, Base Stand Drawer, 2023 Model)","₹17,990","25,999",100+ bought in past month,"4.4 out of 5 stars 1,185"
"322 L, 3 Star, Convertible 5-in-1 Digital Inverter, with Display Frost Free Double Door Refrigerator (RT37C4523S8/HL, Silver, Elegant Inox, 2023 Model)","₹37,490","56,990",100+ bought in past month,"4.2 out of 5 stars 3,236"
"94 L 3 Star Direct-Cool Single Door Mini Refrigerator (RR94D4SSN, Silver, 2023 Model)","₹9,990","13,990",,"4.1 out of 5 stars 1,072"
"180 L 3 Star Farm Fresh Crisper Technology With Jumbo Vegetable Tray Direct Cool Single Door Refrigerator(2023 Model, RD R190C THF FR BL, Floral Blue)","₹13,990","21,590",200+ bought in past month,"4.0 out of 5 stars 1,373"
"596L Frost Free Inverter Side by Side Refrigerator (HES-690SS-P, Shiny Steel, Convertible, Gross volume-596L)","₹59,990","1,01,990",100+ bought in past month,4.2 out of 5 stars 89
"653 L, 3 Star, Frost Free Convertible 5-in-1 Digital Inverter, Side By Side WiFi Embedded Refrigerator (RS76CG8003S9HL, Silver, Refined Inox, 2023 Model)","₹81,990","1,13,000",100+ bought in past month,"4.3 out of 5 stars 1,725"
"237 L 3 Star Frost Free Inverter Double Door Bottom Mount Refrigerator Appliance (2023 Model, HEB-243GS-P, Moon Silver, Convertible)","₹24,999","36,990",100+ bought in past month,4.0 out of 5 stars 116
"190 L 5 Star Direct Cool Single Door Refrigerator Appliance (2023 Model, HED-205MFB-P, Marine Peony, Base Stand with Drawer)","₹16,490","24,490",,4.1 out of 5 stars 170
"215 L, 4 Star, Digi-Touch Cool Digital Inverter, with Display Direct-Cool Single Door Refrigerator (RR23C2F24NJ/HL,Orange Blossom Red, Base Stand Drawer, 2023 Model)","₹19,990","26,999",100+ bought in past month,"4.3 out of 5 stars 2,293"
"280 L Double Door 3 Star AI Enabled Inverter Technology Frost Free Refrigerator (NR-TH292CVHN, Electric Grey, Jumbo Fresh Vegetable Basket,2023 Model, Net Capacity 256L)","₹27,790","35,500",,3.9 out of 5 stars 84
