Product_Name,Selling Price,MRP,Items Bought Last Month,Ratings,Numeric_Ratings,Total Ratings,Brand,Offer%
"Whirlpool 7 Kg 5 Star Royal Fully-Automatic Top Loading Washing Machine (WHITEMAGIC ROYAL 7.0 GENX, Grey, Hard Water Wash, ZPF Technology)",14850.0,18950.0,1000,"4.1 out of 5 stars 12,621",4.1,12621,Whirlpool,21.64
White Westinghouse 7 kg Fully Automatic Top Loading Washing Machine (HDT7000S/GREY/2023),10999.0,16999.0,1000,"4.1 out of 5 stars 12,621",4.1,12621,Electrolux,35.3
"Whirlpool 6 Kg 5 Star Royal Fully-Automatic Top Loading Washing Machine (WHITEMAGIC ROYAL 6 GENX, Grey, ZPF Technology)",13490.0,17600.0,1000,"4.2 out of 5 stars 6,090",4.2,6090,Whirlpool,23.35
"Samsung 7 kg Fully-Automatic Top Loading Washing Machine (WA70A4002GS/TL, Imperial Silver, Diamond drum)",15990.0,21000.0,3000,"4.4 out of 5 stars 27,537",4.4,27537,Samsung,23.86
"Samsung 7 kg, 5 star, Eco Bubble Technology, Digital Inverter, Motor, Soft Closing Door, Fully-Automatic Top Load Washing Machine (WA70BG4441YYTL, Lavender Gray)",17990.0,22500.0,1000,"4.2 out of 5 stars 5,289",4.2,5289,Samsung,20.04
"LG 7 Kg 5 Star Wind Jet Dry Semi-Automatic Top Loading Washing Machine (P7020NGAZ, Dark Gray, Rat Away Feature)",11490.0,16090.0,2000,"4.3 out of 5 stars 4,798",4.3,4798,LG,28.59
"LG 8 Kg 5 Star Inverter TurboDrum Fully Automatic Top Loading Washing Machine (T80SKSF1Z, Waterfall Circulation, Digital Display, Middle Free Silver)",18990.0,29990.0,1000,"4.2 out of 5 stars 16,348",4.2,16348,LG,36.68
"Samsung 8 kg, 5 star, Eco Bubble Technology, Digital Inverter, Motor, Soft Closing Door, Fully-Automatic Top Load Washing Machine (WA80BG4441BGTL, Light Gray)",19490.0,27000.0,1000,"4.3 out of 5 stars 15,751",4.3,15751,Samsung,27.81
"Whirlpool 7.5 Kg 5 Star Stainwash Pro Fully Automatic Top Load Washing Machine (Stainwash Pro H 7.5, Kg 5 Star with In-Built Heater), Grey",17890.0,25750.0,1000,"4.1 out of 5 stars 6,616",4.1,6616,Whirlpool,30.52
"LG 7 Kg 5 Star Inverter Touch panel Fully-Automatic Front Load Washing Machine with In-Built Heater (FHM1207SDM, Middle Black, Steam for Hygiene Wash)",28990.0,43990.0,1000,"4.3 out of 5 stars 4,487",4.3,4487,LG,34.1
"Godrej 6.5 Kg 5 Star I-Wash Technology for Automatic One Touch Wash Fully-Automatic Top Load Washing Machine (2023 Model, WTEON 650 AP 5.0 GPGR, Graphite Grey, With Toughened Glass Lid)",12990.0,17900.0,1000,"4.1 out of 5 stars 3,935",4.1,3935,Godrej,27.43
White Westinghouse 8.5 kg Fully Automatic Top Loading Washing Machine (HDT8500S/GREY/2023),12999.0,18999.0,1000,"4.1 out of 5 stars 12,621",4.1,12621,Electrolux,31.58
"Acer 7.0 Kg Quad Wash Series Fully-Automatic Top Load Washing Machine (AiSense, HelixFlow Pulsator, Pro-Foam Tub, 5 Star Energy Rating, CareTec Wash, AR70FATLP1EC, 2023 Model, Grey)",13499.0,31999.0,1000,4.3 out of 5 stars 38,4.3,38,Miele,57.81
