Product_Name,Selling Price,MRP,Items Bought Last Month,Ratings
"1 Ton 4 Star AI DUAL Inverter Split AC (Copper, AI Convertible 6-in-1 Cooling, HD Filter with Anti Virus Protection, 2023 Model, RS-Q13JNYE, White)","₹34,990","61,990",200+ bought in past month,4.2 out of 5 stars 907
"1 Ton 3 Star Inverter Split AC (Copper, PM 2.5 Filter, 2023 Model, MTKL35UV16, White)","₹31,990","48,200",100+ bought in past month,3.9 out of 5 stars 703
"1.5 Ton 3 Star Inverter Split AC with 7-Stage Air Filtration (100% Copper, Convertible 4-in-1, PM 2.5 Filter, 2023 Model, CWCVBH-VQ1W183, White)","₹27,990","52,900",100+ bought in past month,4.1 out of 5 stars 352
"1 Ton 3 Star Inverter Split AC with 7-Stage Air Filtration (100% Copper, Convertible 4-in-1, PM 2.5 Filter, 2023 Model, CWCVBH-VQ1W123, White)","₹25,490","44,900",100+ bought in past month,4.1 out of 5 stars 263
"1 Ton 3 Star, 5-In-1 Convertible Cooling, Inverter Split AC (Copper, I-Sense Technology, 2023 Model, AC 1T EI 12TINV3R32-GWA Split, White)","₹28,990","42,900",100+ bought in past month,3.8 out of 5 stars 903
"1.5 Ton 3 Star Inverter Split AC (Copper, Convertible 5-in-1 Cooling Mode, Easy Filter Plus (Anti-Bacteria), 2023 Model AR18CYLZABE White)","₹33,999","60,990",100+ bought in past month,4.0 out of 5 stars 578
"1.5 Ton 4 Star Fixed Speed Window AC (Copper, 2023 Model, White with Golden Deco Strip, GLW18C4YWGEW)","₹28,490","50,990",50+ bought in past month,4.3 out of 5 stars 425
"1.5 Ton 3 Star Fixed Speed Window AC( Copper,High Density Filter for Dust Filtration, 2Way Air Directional Control, 2023 Model,Estra DX -CAW18SC3R32F0,White)","₹26,990","45,090",50+ bought in past month,4.2 out of 5 stars 428
"1.5 Ton 5 Star, 5-In-1 Convertible, Inverter Split AC (Copper, Heavy Duty Cooling at 52°C, 2023 Model, AC 1.5T EI 18IINV5R32 WWA, White)","₹36,990","54,900",50+ bought in past month,"3.8 out of 5 stars 1,062"
"1 Ton 3 Star Wi-Fi Inverter Smart Split AC (Copper Condenser, 7 in 1 Convertible with additional AI Mode, PM 0.1 Air Purification Filter, CS/CU-SU12YKYWA,2023 Model, White)","₹32,490","48,100",50+ bought in past month,"4.2 out of 5 stars 1,035"
"0.8 Ton 3 Star Inverter Split AC (5 in 1 Convertible, 100% Copper, Anti-Viral + PM 2.5 Filter, 2023 Model, White with Silver Deco Strip, GLS09I3FOSEV)","₹26,990","47,990",,4.3 out of 5 stars 66
"2 Ton 5 Star AI Flexicool Inverter Split AC (Copper, Convertible 6-in-1 Cooling,Dual Filtration, Auto Cleanser, 2023 Model,ESTER Exi -CAI24ES5R33F0 ,White)","₹52,990","91,690",50+ bought in past month,4.1 out of 5 stars 257
"1.5 Ton 5 Star Inverter Split AC with 7-Stage Air Filtration (100% Copper, Convertible 4-in-1, PM 2.5 Filter, 4 Way Swing, Anti-Rust Technology, 2023 Model, CWCVBJ-VP3F185, White)","₹32,990","62,900",50+ bought in past month,4.3 out of 5 stars 32
"2 Ton 3 Star Wi-fi Enabled Inverter Split AC (Copper, Convertible 5-in-1 Cooling Mode, Anti-bacterial Filter, 2023 Model AR24CYLZABE White)","₹46,999","83,990",50+ bought in past month,4.0 out of 5 stars 617
"1 Ton 5 Star Inverter Split AC (Copper, PM 2.5 Filter, 2022 Model, MTKM35U, White)","₹38,490","55,500",50+ bought in past month,4.0 out of 5 stars 516
"1.5 Ton 5 Star (5-in-1 Convertible Wind-Free Cooling, 2023 Model, AR18CYNAMWK, Free Installation Worth Rs 1500), Stabilizer Free Operation, Inverter Split AC","₹44,999","73,990",,4.0 out of 5 stars 374
"1.5 Ton 3 Star, Flexicool Inverter Split AC (Copper, Convertible 4-in-1 Cooling Mode, HD Filter 2023 Model, S3K1PPO, White)","₹30,990","62,000",,"3.8 out of 5 stars 4,126"
"1.5 Ton 3 Star Hot & Cold Inverter Split AC (Copper, PM 2.5 Filter, FTHT50UV, White)","₹41,660","61,300",50+ bought in past month,3.8 out of 5 stars 41
"1.5 Ton 5 Star (5-in-1 Convertible Cooling, 2023 Model, AR18CYNZABE, Free Installation Worth Rs 1500), Stabilizer Free Operation, Inverter Split AC","₹41,999","72,990",,3.7 out of 5 stars 748
"1.5 Ton 5 Star Inverter Split AC (Copper,2022,FTKM50U,White)","₹44,990","67,200",,4.1 out of 5 stars 608
"2 Ton 3 Star, Inverter Split AC(Copper, 4-in-1 Adjustable Mode, Anti-dust Filter, 2023 Model, 243V Vectra Elite, White)","₹42,999","79,990",50+ bought in past month,3.7 out of 5 stars 68
"1.5 Ton 3 Star, Fixed Speed Window AC (Copper, Turbo Mode, 2023 Model, 183 Vectra Pearl, White)","₹27,171","41,990",,"3.9 out of 5 stars 2,126"
"1.8 Ton 3 Star Inverter Split AC (Copper, Anti Bacterial Filter, ATKL60UV16, White)","₹49,990","72,900",,3.8 out of 5 stars 95
"Portable Air Conditioner Fan, Personal Mini Small Evaporative Air Cooler Cool Mist Humidifier with 7 Colors LED Light, 1/2/3 H Timer, 3 Speeds & 3 Spray Modes for Room Office Home Travel",₹599,"2,999",50+ bought in past month,2.4 out of 5 stars 39
"1 Ton 3 Star Inverter Split AC (Copper, 2022 model, 5-in-1 convertible, Nano-Coated anti-viral filter AC 1T SIC 12TTC3-WWA, White)","₹27,990","41,900",,4.1 out of 5 stars 8
"1 Ton 3 Star Inverter Split AC (Copper, 2022 model, 5-in-1 convertible, Nano-Coated anti-viral filter AC 1T SIC 12TTC3-WWA, White)","₹27,990","41,900",,4.1 out of 5 stars 8
"1.5 Ton 5 Star, Inverter Window AC (Copper, 2-in-1 Adjustable Mode, 2023 Model, 185V Vertis Elite, White)","₹31,999","49,990",,4.0 out of 5 stars 641
"2 Ton 3 Star, 5-In-1 Convertible Cooling, Inverter Split AC (Copper, I-Sense Technology, 2023 Model, AC 2T EI 24IINV3R32-WWA Split, White)","₹40,490","60,990",,3.7 out of 5 stars 174
"1.5 Ton 5 Star, Flexicool Inverter Split AC (Copper, Convertible 4-in-1 Cooling Mode, HD Filter 2023 Model, S3I3AD0, White)",,,,"3.9 out of 5 stars 3,909"
"2 Ton 3 Star Wi-Fi Inverter Smart Split AC (Copper Condenser, 7 in 1 Convertible with additional AI Mode, PM 0.1 Air Purification Filter, CS/CU-SU24YKYWA,2023 Model, White)","₹49,990","69,400",,4.0 out of 5 stars 255
"2.0 Ton 5 Star Inverter Split AC (5 in 1 Convertible, Copper, Anti-Viral + PM 2.5 Filter, 2023 Model, White with Golden Deco Strip, GLS24I5FWGEV)","₹51,990","85,990",,4.1 out of 5 stars 106
"Lloyd 1.5 Ton 3 Star Fixed Speed Window Ac (Copper, 2023 Model, White With Silver Deco Strip, GlW18C3YWSEW)","₹27,490","47,990",,4.2 out of 5 stars 547
"1.5 Ton 3 Star Hot and Cold Wi-Fi Inverter Smart Split AC (Copper, 7 in 1 Convertible with AI, Twin Cool, PM 0.1 Filter, CS/CU-KZ18ZKYF, 2023 Model, White)","₹46,990","61,400",,4.2 out of 5 stars 56
"1.5 Ton 3 Star Inverter Split AC (Copper, Antibacterial Filter, 2023 Model, HSU17V-TMS3BE-INV, White)","₹31,999","64,000",,3.6 out of 5 stars 668
"1 Ton Fixed Speed Portable AC (Copper, Anti Bacterial Silver Coating, Self Diagnosis, Comfort Sleep Modes-Auto/Cool/Fan/Dry, Auto Mode, Remote Control Operations, Gold Fins, PC12DB, White)","₹30,400","39,000",,"3.4 out of 5 stars 2,069"
"1.5 Ton 3 Star Hot & Cold Inverter Split AC (5 in 1 Convertible, Copper, Anti-Viral + PM 2.5 Filter, 2023 Model, White with Red Deco Strip, GLS18H3FWRHC)","₹38,990","64,990",,3.7 out of 5 stars 20
"1 Ton 3 Star Fixed Speed Window AC( Copper,High Density Filter for Dust Filtration, 2Way Air Directional Control, 2023 Model,Estra DX -CAW12SC3R32F0,White)","₹25,990","39,090",,4.0 out of 5 stars 53
"1.5 Ton 3 Star Fixed Speed Window AC (Copper, Turbo Cool, Humidity Control, Hydrophilic Blue Fins, Dust Filters, Self-Diagnosis, 2023 Model, WFA318LN, White)","₹28,999","39,500",,4.0 out of 5 stars 150
"1.5 Ton 3 Star Split AC (Copper Condenser, 7 in 1 Convertible Mode, PM 0.1 Air Purification Filter, CS/CU-SU18YKYTK,2023 Model, White)","₹34,490","53,900",,3.9 out of 5 stars 473
"1 Ton 5 Star, Inverter Split AC(Copper, 4-in-1 Adjustable Mode, Anti-dust Filter, 2023 Model, 125V Vectra Elite, White)","₹35,899","44,990",,4.0 out of 5 stars 25
"1.5 Ton 5 Star AI DUAL Inverter Split AC (Copper, Super Convertible 6-in-1 Cooling, HD Filter with Anti-Virus Protection, 2022 Model, PS-Q19YNZE, White)","₹45,980","75,990",,"4.2 out of 5 stars 2,873"
"1.5 Ton 3 Star Fixed Speed Split AC (Copper, PM 2.5 Filter, 2022 Model, FTL50U, White)","₹36,350","55,600",,4.0 out of 5 stars 618
"1.0 Ton 2 Star Fixed Speed Window AC (Copper, 2023 Model, White with Silver Deco Strip, GLW12C2YWSEW)","₹23,910","39,990",,4.0 out of 5 stars 564
"1.5 Ton 3 Star Inverter Split AC (Copper, PM 2.5 Filter, FTKY50UV, White)","₹35,210","58,400",,"4.0 out of 5 stars 1,454"
"1.5 Ton 5 Star Inverter Window AC( Copper,High Density Filter for Dust Filtration, 2Way Air Directional Control, 2023 Model,Estra Dxi -CIW18SC5R32F0,White)","₹33,990","70,000",,4.0 out of 5 stars 238
"1 Ton 5 Star Triple Display, Dew Clean Technology, Inverter Split AC (Copper, PM 2.5, 2022, FTKM35U, White)","₹37,880","55,500",,4.2 out of 5 stars 77
"1.5 Ton 3 Star Inverter Split AC (AC 1.5T SIC 18TTC3-WWA, White)","₹29,890","47,900",,4.0 out of 5 stars 38
"1 Ton 3 Star, Inverter Split AC(Copper, 4-in-1 Adjustable Mode, Anti-dust Filter, 2023 Model, 123V Vectra Elite, White)","₹29,290","56,990",,4.0 out of 5 stars 77
"1 Ton 3 Star Fixed Speed Window AC (Copper, Turbo Cool, Humidity Control, Fan Modes-Auto/High/Medium/Low, Hydrophilic Blue Fins, Dust Filters, Self-Diagnosis, 2023 Model, WFB312LN, White)","₹26,849","33,000",,4.1 out of 5 stars 405
"1.5 Ton 3 Star Turbo Mode, Inverter Window AC (Copper, Anti-Dust Filter, Anti-Freeze Thermostat, 2023 Model, AC 1.5T WIC 18UTC3 WWA, White,)","₹28,270","45,990",,4.4 out of 5 stars 16
"1.5 Ton 3 Star Turbo Mode, Inverter Window AC (Copper, Anti-Dust Filter, Anti-Freeze Thermostat, 2023 Model, AC 1.5T WIC 18UTC3 WWA, White,)","₹28,270","45,990",,4.4 out of 5 stars 16
"1.5 Ton 3 Star Shizen 3100S HP Hot and Cold Expandable Inverter Split AC -(Copper, Dust Filter,2023 Model, RSQG318HGXA,White)","₹40,989","67,000",,
"5 in 1 Convertible 2 Ton 5 Star Inverter Split Copper Condenser Air Conditioner with Turbo Cool Technology (White, IC524DNU)","₹55,175","84,000",,3.3 out of 5 stars 3
"1.5 Ton 3 Star Fixed Speed Split AC (100% Copper, Dust Filter, 2022 Model, Senpai 3200FL, R32-RAS.B318PCAIBA, White)","₹36,700","56,300",,4.1 out of 5 stars 12
"2 Ton 3 Star Convertible 5 in 1 Cooling Inverter Split AC (Copper, Summer Cool, Smart Ready, Auto Defrost, Stabalizer Free Operations, Dust Filters, Blue Fins, 2023 Model, IC324YNU, White)","₹46,990","71,750",,3.8 out of 5 stars 82
"1 Ton 5 Star Wi-Fi Inverter Smart Split AC (Copper, 7 in 1 Convertible with additional AI Mode, 4 Way Swing, nanoe-G Air Purification Technology, CS/CU-XU12YKY5W,2023 Model, White)","₹39,490","64,400",,4.7 out of 5 stars 22
"1.5 Ton 4 Star Wi-Fi Inverter Smart Split AC (Copper, 7 in 1 Convertible with additional AI Mode, 4 Way Swing, nanoe-G Air Purification Filter, CS/CU-PU18YKY4W,2023 Model, White)","₹40,490","66,900",,3.7 out of 5 stars 19
"1.5 Ton 3 Star, Turbo Mode, Window AC (Copper, Anti Corrosive Blue Fin, 2023 Model, AC 1.5T WFC 18UTC3-WWA Window, White)","₹26,650","41,900",,4.0 out of 5 stars 204
"2 Ton 5 Star, Inverter Split AC(Copper,4-in-1 Adjustable Mode, Anti-dust Filter, 2023 Model, 245V Vectra Plus, White)","₹52,999","93,990",,4.0 out of 5 stars 189
"2.0 Ton 3 Star DUAL Inverter Split AC (Copper, AI Convertible 6-in-1 Cooling, 4 Way Swing, HD Filter with Anti-Virus Protection, 2024 Model, TS-Q24ENXE, White)","₹55,490","95,990",,
"1.5 Ton 3 Star Window AC (Copper, Estrella Dx, White)","₹27,800","45,090",,4.2 out of 5 stars 25
"1 Ton 4 Star Inverter Split AC (Copper, 5 in 1 Convertible Cooling, Smart Ready, Turbo Cool, Voice Command, IC412YNU, 2023 Model, White)","₹35,990","59,000",,4.1 out of 5 stars 276
2 Ton Hot & Cold Split AC (Copper SAC_24H_IZI White),"₹58,990","94,990",,3.1 out of 5 stars 11
"1.5 Ton 5 Star ice Clean Xpandable Plus Inverter Split AC (100% Copper, Dust Filter, 2023 Model, Yoshi 5400FXL, R32-RAS.G518PCAISF, Dual Platinum)","₹45,990","79,990",,3.9 out of 5 stars 805
"DUAL Inverter Window AC (1.5 Ton), 5 Star With Convertible 4-In-1 Cooling And Thin Q (Wi-Fi, White)","₹39,400","55,990",,3.3 out of 5 stars 13
"Lloyd 2.0 Ton 3 Star Inverter Split AC (5 in 1 Convertible, Copper, Anti-Viral + PM 2.5 Filter, 2023 Model, White with Silver Deco Strip, GLS24I3FWSEV/WSEA)","₹46,490","77,990",,4.0 out of 5 stars 50
"1.5 Ton 5 Star Smart AI Flexicool Hybridjet,Wi-Fi, Inverter Split AC (Copper, Convertible 6-in-1 with Anti-Viral Guard, Smart Energy Display, 2023 Model,INDUS DXI - CAI18IN5R32W0, Beige)","₹46,980","75,990",,3.6 out of 5 stars 7
"1 Ton 3 Star Wind-Free Technology Inverter Split AC (Copper, Convertible 5-in-1 Cooling Mode, Easy Filter Plus (Anti-Bacteria), 2023 Model AR12CYLAMWK White)","₹36,890","59,990",,4.0 out of 5 stars 81
"1.5 Ton 5 Star Wi-Fi Inverter Smart Split AC (Copper, 7 in 1 Convertible with additional AI Mode, 4 Way Swing, nanoe-G Air Purification Filter, CS/CU-XU18YKY5W,2023 Model, White)","₹45,490","72,900",,4.1 out of 5 stars 465
Blue star Split AC Outdoor Unit Wall Mount stand for 1.0Ton / 1.5Ton / 2.0 Ton Split Air Conditioners,₹806,999,,3.3 out of 5 stars 5
"1 Ton 3 Star, Fixed Speed Window AC (Copper, Turbo Mode, 2023 Model, 123 Vectra Platina, White)","₹26,399","35,990",,4.5 out of 5 stars 61
